epoch,train_loss,train_score,val_loss,val_score,val_rec,val_distill
0,0.223809,0.223809,0.180041,0.180041,0.000000,0.000000
1,0.183058,0.183058,0.128042,0.128042,0.000000,0.000000
2,0.162997,0.162997,0.099269,0.099269,0.000000,0.000000
3,0.147294,0.147294,0.090751,0.090751,0.000000,0.000000
4,0.138000,0.138000,0.080031,0.080031,0.000000,0.000000
5,0.126152,0.126152,0.072704,0.072704,0.000000,0.000000
6,0.115603,0.115603,0.066680,0.066680,0.000000,0.000000
7,0.106775,0.106775,0.061100,0.061100,0.000000,0.000000
8,0.100029,0.100029,0.057219,0.057219,0.000000,0.000000
9,0.092599,0.092599,0.054246,0.054246,0.000000,0.000000
10,0.088566,0.088566,0.049681,0.049681,0.000000,0.000000
11,0.080842,0.080842,0.046691,0.046691,0.000000,0.000000
12,0.075736,0.075736,0.043802,0.043802,0.000000,0.000000
13,0.071609,0.071609,0.040196,0.040196,0.000000,0.000000
14,0.066579,0.066579,0.038122,0.038122,0.000000,0.000000
15,0.063379,0.063379,0.036139,0.036139,0.000000,0.000000
16,0.059120,0.059120,0.034736,0.034736,0.000000,0.000000
17,0.055754,0.055754,0.032382,0.032382,0.000000,0.000000
18,0.053127,0.053127,0.031294,0.031294,0.000000,0.000000
19,0.050334,0.050334,0.029161,0.029161,0.000000,0.000000
20,0.047583,0.047583,0.028125,0.028125,0.000000,0.000000
21,0.045565,0.045565,0.027203,0.027203,0.000000,0.000000
22,0.043584,0.043584,0.025935,0.025935,0.000000,0.000000
23,0.041545,0.041545,0.025437,0.025437,0.000000,0.000000
24,0.039541,0.039541,0.025138,0.025138,0.000000,0.000000
25,0.037957,0.037957,0.023951,0.023951,0.000000,0.000000
26,0.036678,0.036678,0.023110,0.023110,0.000000,0.000000
27,0.035173,0.035173,0.022690,0.022690,0.000000,0.000000
28,0.033587,0.033587,0.022517,0.022517,0.000000,0.000000
29,0.032419,0.032419,0.022364,0.022364,0.000000,0.000000
30,0.031575,0.031575,0.021846,0.021846,0.000000,0.000000
31,0.030528,0.030528,0.020916,0.020916,0.000000,0.000000
32,0.031213,0.031213,0.020744,0.020744,0.000000,0.000000
33,0.028971,0.028971,0.020736,0.020736,0.000000,0.000000
34,0.027638,0.027638,0.020442,0.020442,0.000000,0.000000
35,0.026790,0.026790,0.020403,0.020403,0.000000,0.000000
36,0.025820,0.025820,0.020607,0.020607,0.000000,0.000000
37,0.025006,0.025006,0.019577,0.019577,0.000000,0.000000
38,0.024462,0.024462,0.019618,0.019618,0.000000,0.000000
39,0.024084,0.024084,0.019164,0.019164,0.000000,0.000000
40,0.023326,0.023326,0.018709,0.018709,0.000000,0.000000
41,0.022743,0.022743,0.019038,0.019038,0.000000,0.000000
42,0.022198,0.022198,0.018406,0.018406,0.000000,0.000000
43,0.022985,0.022985,0.018356,0.018356,0.000000,0.000000
44,0.021456,0.021456,0.018263,0.018263,0.000000,0.000000
45,0.021070,0.021070,0.018058,0.018058,0.000000,0.000000
46,0.020465,0.020465,0.018052,0.018052,0.000000,0.000000
47,0.020038,0.020038,0.017957,0.017957,0.000000,0.000000
48,0.019669,0.019669,0.017645,0.017645,0.000000,0.000000
49,0.019273,0.019273,0.017402,0.017402,0.000000,0.000000
50,0.018953,0.018953,0.017976,0.017976,0.000000,0.000000
51,0.018497,0.018497,0.017487,0.017487,0.000000,0.000000
52,0.018317,0.018317,0.017151,0.017151,0.000000,0.000000
53,0.018101,0.018101,0.017251,0.017251,0.000000,0.000000
54,0.017959,0.017959,0.016716,0.016716,0.000000,0.000000
55,0.017599,0.017599,0.017554,0.017554,0.000000,0.000000
56,0.017365,0.017365,0.016493,0.016493,0.000000,0.000000
57,0.017227,0.017227,0.016488,0.016488,0.000000,0.000000
58,0.016891,0.016891,0.016689,0.016689,0.000000,0.000000
59,0.016720,0.016720,0.016472,0.016472,0.000000,0.000000
60,0.016580,0.016580,0.016393,0.016393,0.000000,0.000000
61,0.016196,0.016196,0.016188,0.016188,0.000000,0.000000
62,0.016176,0.016176,0.016171,0.016171,0.000000,0.000000
63,0.016193,0.016193,0.016182,0.016182,0.000000,0.000000
64,0.015944,0.015944,0.016332,0.016332,0.000000,0.000000
65,0.015835,0.015835,0.016237,0.016237,0.000000,0.000000
