epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.753985,0.753985,0.581541,0.684355,0.684355,0.580348
1,0.676860,0.676860,0.531447,0.664605,0.664605,0.571187
2,0.655553,0.655553,0.517964,0.661137,0.661137,0.571181
3,0.644350,0.644350,0.511348,0.679109,0.679109,0.580690
4,0.639650,0.639650,0.509558,0.669933,0.669933,0.577187
5,0.632580,0.632580,0.505532,0.688053,0.688053,0.585546
