epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.752095,0.752095,0.573264,0.675267,0.675267,0.577278
1,0.675047,0.675047,0.527303,0.674007,0.674007,0.574821
2,0.656851,0.656851,0.517763,0.664587,0.664587,0.574942
3,0.650909,0.650909,0.515179,0.655397,0.655397,0.570122
4,0.644023,0.644023,0.512556,0.676921,0.676921,0.577746
5,0.637092,0.637092,0.508861,0.704257,0.704257,0.590809
6,0.632429,0.632429,0.507486,0.733396,0.733396,0.602015
7,0.627591,0.627591,0.504809,0.709043,0.709043,0.591869
8,0.623446,0.623446,0.501960,0.691533,0.691533,0.586211
9,0.620926,0.620926,0.500708,0.698947,0.698947,0.588573
