loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.382029, 0.381004, 0.401973, 146.20 M Ops, 18.60 M Ops, 9.59 M Ops, 0.1860 M, 0.5029 %, 60.84 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.382370, 0.381362, 0.402557, 146.20 M Ops, 18.28 M Ops, 9.59 M Ops, 0.1860 M, 0.5027 %, 60.55 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.382156, 0.381153, 0.402574, 146.20 M Ops, 18.27 M Ops, 9.59 M Ops, 0.1860 M, 0.5009 %, 60.55 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.383471, 0.382475, 0.403155, 145.00 M Ops, 18.08 M Ops, 8.98 M Ops, 0.1860 M, 0.3985 %, 57.57 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.382499, 0.381385, 0.402185, 145.00 M Ops, 18.60 M Ops, 10.12 M Ops, 0.1873 M, 0.4652 %, 63.31 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384333, 0.383213, 0.403584, 145.00 M Ops, 18.46 M Ops, 10.12 M Ops, 0.1873 M, 0.4602 %, 63.19 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.383627, 0.382502, 0.403067, 145.00 M Ops, 18.50 M Ops, 8.98 M Ops, 0.1873 M, 0.3997 %, 57.95 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.383484, 0.382347, 0.402900, 145.00 M Ops, 18.59 M Ops, 8.98 M Ops, 0.1873 M, 0.4049 %, 58.03 uJ
