loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.416525, 0.409536, 0.430082, 0.738360, 50.92 M Ops, 9.40 M Ops, 1.96 M Ops, 0.2706 M, 0.2683 %, 17.45 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418558, 0.411472, 0.430143, 0.737123, 50.92 M Ops, 8.96 M Ops, 1.96 M Ops, 0.2696 M, 0.2638 %, 17.06 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418558, 0.411472, 0.430143, 0.737123, 50.92 M Ops, 8.96 M Ops, 1.96 M Ops, 0.2696 M, 0.2638 %, 17.06 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417120, 0.410637, 0.430047, 0.737657, 50.92 M Ops, 9.22 M Ops, 1.96 M Ops, 0.2696 M, 0.2664 %, 17.29 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418558, 0.411472, 0.430143, 0.737123, 50.92 M Ops, 8.96 M Ops, 1.96 M Ops, 0.2696 M, 0.2638 %, 17.06 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.416285, 0.408592, 0.429658, 0.738963, 50.92 M Ops, 9.36 M Ops, 1.96 M Ops, 0.2696 M, 0.2684 %, 17.42 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.416210, 0.409638, 0.429206, 0.738295, 49.80 M Ops, 9.04 M Ops, 1.84 M Ops, 0.2693 M, 0.2568 %, 16.58 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.416399, 0.410412, 0.429513, 0.737801, 49.80 M Ops, 8.95 M Ops, 1.84 M Ops, 0.2693 M, 0.2488 %, 16.50 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.421106, 0.413963, 0.431733, 0.735532, 49.80 M Ops, 9.46 M Ops, 1.84 M Ops, 0.2703 M, 0.2484 %, 16.96 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419921, 0.413506, 0.431490, 0.735824, 49.74 M Ops, 9.62 M Ops, 1.84 M Ops, 0.2703 M, 0.2469 %, 17.10 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419921, 0.413506, 0.431490, 0.735824, 49.74 M Ops, 9.62 M Ops, 1.84 M Ops, 0.2703 M, 0.2469 %, 17.10 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419545, 0.412123, 0.431282, 0.736707, 52.94 M Ops, 6.86 M Ops, 2.07 M Ops, 0.2709 M, 0.2862 %, 15.71 uJ
