h,mae,mse
1,0.1582309603691101,0.06575305014848709
2,0.18500065803527832,0.08437050133943558
3,0.20285356044769287,0.09838640689849854
4,0.21301612257957458,0.10814893245697021
5,0.22433651983737946,0.11951223760843277
6,0.23101642727851868,0.12651942670345306
7,0.23609517514705658,0.13291960954666138
8,0.24138528108596802,0.13995784521102905
9,0.24528257548809052,0.14526107907295227
10,0.2497551292181015,0.15208937227725983
11,0.2526889741420746,0.15694870054721832
12,0.25570976734161377,0.16269809007644653
13,0.25879982113838196,0.16714295744895935
14,0.261520117521286,0.1722327619791031
15,0.2627710998058319,0.1757197231054306
16,0.2641349732875824,0.17982083559036255
17,0.26677998900413513,0.1834748536348343
18,0.2675274610519409,0.1857820451259613
19,0.2706390619277954,0.1907011717557907
20,0.2709828317165375,0.1934225708246231
21,0.2731167674064636,0.19540204107761383
22,0.27376002073287964,0.19891242682933807
23,0.2749527394771576,0.2016279548406601
24,0.2787567675113678,0.20986852049827576
25,0.2857942283153534,0.21412408351898193
26,0.29108765721321106,0.21810869872570038
27,0.2959429621696472,0.22251255810260773
28,0.29879093170166016,0.22651591897010803
29,0.3028559982776642,0.23313114047050476
30,0.3064352571964264,0.2379528284072876
31,0.30721163749694824,0.2379777878522873
32,0.3101312220096588,0.2428441196680069
33,0.31174060702323914,0.24577561020851135
34,0.31358617544174194,0.24742209911346436
35,0.3146430253982544,0.25028976798057556
36,0.31587299704551697,0.2526222765445709
37,0.31629443168640137,0.25396063923835754
38,0.3185536861419678,0.2571984529495239
39,0.3199671506881714,0.26087161898612976
40,0.3223132789134979,0.26318591833114624
41,0.32265523076057434,0.26386919617652893
42,0.3242538273334503,0.26946499943733215
43,0.32534629106521606,0.27081409096717834
44,0.32502707839012146,0.268809974193573
45,0.32595694065093994,0.27184513211250305
46,0.32754257321357727,0.27657026052474976
47,0.3284633457660675,0.27812498807907104
48,0.32984963059425354,0.28030508756637573
49,0.33433735370635986,0.2844158411026001
50,0.33819693326950073,0.28780901432037354
51,0.3403090238571167,0.29122552275657654
52,0.34034058451652527,0.2925542891025543
53,0.3440021276473999,0.2982260584831238
54,0.34578314423561096,0.30175015330314636
55,0.3488251864910126,0.3071894347667694
56,0.3506756126880646,0.31037282943725586
57,0.35225293040275574,0.3121803104877472
58,0.35318297147750854,0.3142780363559723
59,0.3536670506000519,0.31565171480178833
60,0.3531852662563324,0.3158299922943115
61,0.3534945249557495,0.31744250655174255
62,0.35403576493263245,0.3179437220096588
63,0.3556409776210785,0.3202647268772125
64,0.3563969135284424,0.32064178586006165
65,0.3598695397377014,0.3245626986026764
66,0.36000704765319824,0.32514679431915283
67,0.3596857190132141,0.3253907561302185
68,0.35901933908462524,0.3252186179161072
69,0.35784047842025757,0.32254260778427124
70,0.3592715859413147,0.32672321796417236
71,0.3608245253562927,0.3290822207927704
72,0.3611811697483063,0.3286956250667572
73,0.3645474314689636,0.3313446044921875
74,0.3658338785171509,0.33351007103919983
75,0.367267906665802,0.3352467119693756
76,0.3681770861148834,0.33717766404151917
77,0.3683735430240631,0.3383263647556305
78,0.37088140845298767,0.34090104699134827
79,0.37217745184898376,0.34280192852020264
80,0.3745270073413849,0.3459152579307556
81,0.3767361640930176,0.34768781065940857
82,0.37616536021232605,0.3486943244934082
83,0.3759072422981262,0.3489398956298828
84,0.37662795186042786,0.34830838441848755
85,0.37590837478637695,0.34863513708114624
86,0.3766530454158783,0.351071834564209
87,0.37607768177986145,0.3494558036327362
88,0.37703120708465576,0.3505241870880127
89,0.3760730028152466,0.3492020070552826
90,0.37805530428886414,0.3516818583011627
91,0.3766854405403137,0.350126713514328
92,0.3770550787448883,0.3509027361869812
93,0.37534645199775696,0.3492371439933777
94,0.3741316795349121,0.34871989488601685
95,0.375436931848526,0.34998819231987
96,0.3752439618110657,0.3502271771430969
97,0.3770502805709839,0.35077300667762756
98,0.3775281310081482,0.35184457898139954
99,0.3789858818054199,0.35312893986701965
100,0.37931591272354126,0.35407426953315735
101,0.38037243485450745,0.3558780550956726
102,0.3815043270587921,0.3574261963367462
103,0.3822428286075592,0.3579973578453064
104,0.382074773311615,0.35851842164993286
105,0.3834507465362549,0.3598517179489136
106,0.3858741819858551,0.3638830780982971
107,0.3834032118320465,0.36125317215919495
108,0.38482990860939026,0.3622369170188904
