loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.412377, 0.405881, 0.426729, 0.740696, 25.38 M Ops, 4.24 M Ops, 1.27 M Ops, 0.2696 M, 0.2519 %, 9.67 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.413096, 0.406202, 0.427303, 0.740490, 25.38 M Ops, 4.24 M Ops, 1.27 M Ops, 0.2696 M, 0.2466 %, 9.68 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.413799, 0.406691, 0.427713, 0.740178, 25.38 M Ops, 4.21 M Ops, 1.27 M Ops, 0.2696 M, 0.2495 %, 9.65 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414698, 0.407788, 0.428435, 0.739477, 25.38 M Ops, 4.25 M Ops, 1.27 M Ops, 0.2696 M, 0.2495 %, 9.69 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414698, 0.407788, 0.428435, 0.739477, 25.38 M Ops, 4.25 M Ops, 1.27 M Ops, 0.2696 M, 0.2495 %, 9.69 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.415266, 0.407666, 0.427726, 0.739555, 25.38 M Ops, 4.17 M Ops, 1.71 M Ops, 0.2696 M, 0.2682 %, 11.61 uJ
