epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.657853,0.657853,0.590300,1.334671,1.334671,0.819814
1,0.569192,0.569192,0.544818,1.297259,1.297259,0.807740
2,0.555271,0.555271,0.537703,1.288702,1.288702,0.806250
3,0.545798,0.545798,0.532262,1.280599,1.280599,0.802234
4,0.538087,0.538087,0.527745,1.273901,1.273901,0.800659
5,0.532476,0.532476,0.525127,1.264034,1.264034,0.795434
6,0.528900,0.528900,0.523647,1.264893,1.264893,0.793232
7,0.523777,0.523777,0.521162,1.266208,1.266208,0.797531
8,0.519297,0.519297,0.518932,1.263768,1.263768,0.794805
9,0.517189,0.517189,0.518150,1.266809,1.266809,0.795104
