epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.539273,0.539273,0.461663,0.275088,0.275088,0.379732
1,0.405226,0.405226,0.382736,0.255436,0.255436,0.361832
2,0.392139,0.392139,0.379924,0.272596,0.272596,0.375116
3,0.380084,0.380084,0.377412,0.286133,0.286133,0.384286
4,0.368927,0.368927,0.374334,0.280348,0.280348,0.376709
5,0.358778,0.358778,0.371728,0.262807,0.262807,0.365164
6,0.355991,0.355991,0.370921,0.270249,0.270249,0.369878
7,0.353281,0.353281,0.370966,0.278035,0.278035,0.377137
