snr,loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
None,0.384448,0.361585,0.380986,140.31 M Ops,9.76 M Ops,5.55 M Ops,0.3216 M,0.4079 %,34.31 uJ,0.361585,0.380986,0.767463
snr,loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
None,0.384939,0.361200,0.381169,140.31 M Ops,10.67 M Ops,5.55 M Ops,0.3216 M,0.4118 %,35.13 uJ,0.361200,0.381169,0.767710
snr,loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
None,0.388159,0.368212,0.384433,140.31 M Ops,10.66 M Ops,5.55 M Ops,0.3216 M,0.4125 %,35.12 uJ,0.368212,0.384433,0.763201
