epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WQ_norm_observations,train_grad_WK_norm,train_grad_WK_norm_observations,train_grad_eta_hat_norm,train_grad_eta_hat_norm_observations,train_grad_WQ_absmax,train_grad_WQ_absmax_observations,train_grad_WK_absmax,train_grad_WK_absmax_observations,train_grad_absmax_all,train_grad_absmax_all_observations,train_singleton_frac,train_singleton_frac_observations,train_grad_total_norm_pre_mean,train_grad_total_norm_pre_max,train_grad_total_norm_post_max,train_clip_rate_all_batches,train_batches_seen,val_loss,val_mse,val_mae
0,0.287922,0.287922,0.449081,18.383413,0.231640,0.017752,1.000000,0.000000,0.510491,0.834932,0.003981,4.000000,0.038232,4.000000,0.000763,4.000000,0.005618,4.000000,0.093877,4.000000,1.238926,4.000000,0.044359,4.000000,0.929936,2.451192,1.000000,0.312500,32.000000,0.261172,0.261172,0.421877
1,0.247274,0.247274,0.405600,19.867144,0.267758,0.017304,1.000000,0.000000,0.525678,0.785708,0.002881,4.000000,0.006788,4.000000,0.000272,4.000000,0.002804,4.000000,0.006412,4.000000,0.279419,4.000000,0.046321,4.000000,0.536014,0.882374,0.882374,0.000000,32.000000,0.247580,0.247580,0.404569
2,0.238462,0.238462,0.397051,20.141201,0.245757,0.017267,1.000000,0.000000,0.494064,0.772487,0.006255,4.000000,0.006643,4.000000,0.000830,4.000000,0.005758,4.000000,0.006275,4.000000,0.416306,4.000000,0.044955,4.000000,0.578449,1.110954,0.999999,0.031250,32.000000,0.241314,0.241314,0.399867
3,0.232638,0.232638,0.391843,22.620163,0.237648,0.017910,1.000000,0.000000,0.451644,0.725736,0.004568,4.000000,0.005108,4.000000,0.001726,4.000000,0.003439,4.000000,0.004333,4.000000,0.243665,4.000000,0.042492,4.000000,0.545634,0.870345,0.870345,0.000000,32.000000,0.236943,0.236943,0.394639
4,0.229928,0.229928,0.388841,22.912611,0.228495,0.018888,1.000000,0.000000,0.422743,0.689793,0.004510,4.000000,0.006023,4.000000,0.002231,4.000000,0.003768,4.000000,0.009683,4.000000,0.348952,4.000000,0.039854,4.000000,0.566653,1.159922,0.999999,0.031250,32.000000,0.233542,0.233542,0.393118
5,0.227595,0.227595,0.386618,24.366610,0.220148,0.019894,1.000000,0.000000,0.408215,0.679834,0.004504,4.000000,0.007547,4.000000,0.002652,4.000000,0.005154,4.000000,0.009280,4.000000,0.435600,4.000000,0.038607,4.000000,0.591496,1.154688,0.999999,0.031250,32.000000,0.232288,0.232288,0.389550
6,0.226595,0.226595,0.385458,24.823421,0.216500,0.020898,1.000000,0.000000,0.397476,0.675178,0.003451,4.000000,0.008702,4.000000,0.002688,4.000000,0.002492,4.000000,0.009230,4.000000,0.348393,4.000000,0.038696,4.000000,0.598161,0.988376,0.988376,0.000000,32.000000,0.231898,0.231898,0.390178
7,0.225356,0.225356,0.384413,23.620201,0.217849,0.021887,1.000000,0.000000,0.390963,0.668517,0.003969,4.000000,0.005928,4.000000,0.003657,4.000000,0.004211,4.000000,0.004861,4.000000,0.490386,4.000000,0.038378,4.000000,0.538573,0.946474,0.946474,0.000000,32.000000,0.229741,0.229741,0.388466
8,0.224191,0.224191,0.382704,25.028498,0.214579,0.022938,1.000000,0.000000,0.382539,0.667240,0.002662,4.000000,0.005790,4.000000,0.003241,4.000000,0.002145,4.000000,0.006051,4.000000,0.356402,4.000000,0.037738,4.000000,0.570735,1.260264,0.999999,0.031250,32.000000,0.229809,0.229809,0.387983
9,0.223377,0.223377,0.382037,23.618357,0.212196,0.024012,1.000000,0.000000,0.372094,0.665928,0.002947,4.000000,0.006410,4.000000,0.003436,4.000000,0.003645,4.000000,0.007100,4.000000,0.516154,4.000000,0.036767,4.000000,0.538865,0.947442,0.947442,0.000000,32.000000,0.227969,0.227969,0.386390
10,0.222007,0.222007,0.380641,25.388060,0.211923,0.025111,1.000000,0.000000,0.367498,0.656779,0.004912,4.000000,0.014815,4.000000,0.003102,4.000000,0.004189,4.000000,0.017168,4.000000,0.350325,4.000000,0.036002,4.000000,0.565742,1.008194,0.999999,0.031250,32.000000,0.227947,0.227947,0.385566
11,0.221267,0.221267,0.379551,25.093828,0.208278,0.026257,1.000000,0.000000,0.358951,0.652040,0.004131,4.000000,0.008677,4.000000,0.004009,4.000000,0.003977,4.000000,0.007106,4.000000,0.314659,4.000000,0.034388,4.000000,0.639255,1.177513,0.999999,0.125000,32.000000,0.227353,0.227353,0.385299
