epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.734551,0.734551,0.593206,0.399965,0.399965,0.472874
1,0.517791,0.517791,0.478864,0.350759,0.350759,0.439742
2,0.509094,0.509094,0.468994,0.341782,0.341782,0.432708
3,0.508763,0.508763,0.467252,0.363883,0.363883,0.445614
4,0.508187,0.508187,0.465393,0.332806,0.332806,0.425459
5,0.507577,0.507577,0.465493,0.343385,0.343385,0.431706
6,0.507751,0.507751,0.462344,0.332118,0.332118,0.425055
7,0.505591,0.505591,0.460462,0.330028,0.330028,0.424121
8,0.504570,0.504570,0.459735,0.344589,0.344589,0.433139
9,0.504955,0.504955,0.461548,0.378986,0.378986,0.451865
