epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.032194,0.021177,0.110165,0.137729,0.011272,0.006006,0.052664,0.118777
1,0.018090,0.012488,0.056018,0.139216,0.007675,0.003323,0.043516,0.123135
2,0.016030,0.010924,0.051055,0.144065,0.006147,0.002262,0.038846,0.127472
3,0.015139,0.010407,0.047315,0.149391,0.005488,0.001914,0.035749,0.128868
4,0.014651,0.010188,0.044621,0.150816,0.005147,0.001795,0.033526,0.129642
5,0.014522,0.010126,0.043965,0.152654,0.005014,0.001692,0.033225,0.131834
6,0.014331,0.010068,0.042630,0.152798,0.004834,0.001651,0.031822,0.131207
7,0.014194,0.010033,0.041609,0.153196,0.004694,0.001592,0.031019,0.131934
8,0.014104,0.010008,0.040962,0.154151,0.004530,0.001550,0.029805,0.132351
9,0.014024,0.009985,0.040399,0.155125,0.004716,0.001667,0.030490,0.134194
10,0.014021,0.009969,0.040517,0.157276,0.004533,0.001536,0.029965,0.135106
11,0.013967,0.009963,0.040046,0.156948,0.004438,0.001531,0.029070,0.134859
12,0.013908,0.009938,0.039705,0.156849,0.004517,0.001591,0.029262,0.135310
13,0.013943,0.009951,0.039917,0.158245,0.004387,0.001456,0.029306,0.136963
14,0.013980,0.009949,0.040307,0.159699,0.004490,0.001489,0.030016,0.138832
15,0.013973,0.009939,0.040337,0.161029,0.004541,0.001578,0.029639,0.139616
16,0.013905,0.009931,0.039738,0.162045,0.004463,0.001539,0.029246,0.140967
