epoch,train_loss,train_score,train_distill,val_loss,val_score,val_distill
0,0.131880,0.022301,0.109579,0.110487,tensor(1.4787e-05),0.103603
1,0.131006,0.017388,0.113619,0.127921,tensor(1.7802e-05),0.121193
2,0.135899,0.017281,0.118619,0.136491,tensor(1.8290e-05),0.129629
3,0.140472,0.017228,0.123244,0.138081,tensor(1.8109e-05),0.131656
4,0.143401,0.016527,0.126873,0.137429,tensor(1.3491e-05),0.131650
5,0.147740,0.016120,0.131621,0.140090,tensor(1.1966e-05),0.134343
6,0.150531,0.016267,0.134264,0.142858,tensor(1.5540e-05),0.137125
7,0.153242,0.016388,0.136854,0.142286,tensor(1.5344e-05),0.136438
8,0.154228,0.016285,0.137942,0.144284,tensor(1.3343e-05),0.138527
9,0.153861,0.016266,0.137595,0.143335,tensor(1.2801e-05),0.137678
10,0.154924,0.016278,0.138646,0.144571,tensor(1.5274e-05),0.138893
11,0.155465,0.016324,0.139140,0.144023,tensor(1.0988e-05),0.138321
12,0.156210,0.016379,0.139831,0.144596,tensor(1.2195e-05),0.138896
13,0.155756,0.016375,0.139381,0.145026,tensor(1.3519e-05),0.139337
14,0.156406,0.016261,0.140145,0.146111,tensor(1.1571e-05),0.140399
15,0.155974,0.016274,0.139700,0.145172,tensor(1.0871e-05),0.139496
16,0.155459,0.016136,0.139323,0.145286,tensor(1.4419e-05),0.139640
17,0.155418,0.016294,0.139124,0.145003,tensor(1.4147e-05),0.139356
18,0.155207,0.016064,0.139144,0.145161,tensor(1.1893e-05),0.139507
19,0.155540,0.016235,0.139305,0.144584,tensor(1.4143e-05),0.138893
20,0.155697,0.016435,0.139262,0.145656,tensor(1.8035e-05),0.140001
21,0.155527,0.016311,0.139216,0.143969,tensor(1.2417e-05),0.138303
22,0.155543,0.016310,0.139233,0.145332,tensor(1.1746e-05),0.139683
