variant,mse,mse_sd,mae,mae_sd
heterogeneous_dense,0.38410910738451776,0.006162692215373956,0.42213656953071005,0.00550488974719043
heterogeneous_no_memory,0.37319510879978707,0.005423347659930922,0.41406319411104664,0.005772927870507864
heterogeneous_sparse,0.3719485769313747,0.003504033810368542,0.4121510766676022,0.0009384651453132172
homogeneous_dense,0.39137076890985045,0.015574256119245827,0.4261846735470518,0.01055807742803537
homogeneous_no_memory,0.3897104961442856,0.001490899572156048,0.4250786914902939,0.0017104530154571805
homogeneous_sparse,0.3838458338891415,0.0034219563963922097,0.42297192154500524,0.0043832148076647
