heterogeneous,seed,comparison,delta_mse,delta_mae
False,7,dense-off,-0.0030473958827849368,-0.0015765132477328636
False,7,sparse-dense,0.001186672385817461,0.00549142707782313
False,7,sparse-off,-0.0018607234969674757,0.003914913830090266
False,13,dense-off,0.01749455308192352,0.01122759119591088
False,13,sparse-dense,-0.02833692500203472,-0.019399210346595946
False,13,sparse-off,-0.010842371920111199,-0.008171619150685067
False,21,dense-off,-0.009466338902443971,-0.006333131777904399
False,21,sparse-dense,0.004575447554090367,0.004269527262633077
False,21,sparse-off,-0.004890891348353604,-0.0020636045152713223
True,7,dense-off,0.012130272979278933,0.0077987164727644775
True,7,sparse-dense,-0.01895948549629467,-0.015791799485143032
True,7,sparse-off,-0.006829212517015737,-0.007993083012378555
True,13,dense-off,0.008873284266379178,0.007930933444532717
True,13,sparse-dense,-0.01268249549427089,-0.008404409507467708
True,13,sparse-off,-0.0038092112278917123,-0.000473476062934991
True,21,dense-off,0.011738438508533816,0.008490476341693337
True,21,sparse-dense,-0.004839610368863462,-0.00576026959671308
True,21,sparse-off,0.006898828139670354,0.002730206744980257
