data,variant,mse,mse_sd,mae,mae_sd
ETTh1,heterogeneous_dense,0.4240420464989308,0.006557325132471065,0.4465901683631029,0.004935542129841664
ETTh1,heterogeneous_no_memory,0.421020058236299,0.00536023652399948,0.44296948183843005,0.0031168836637515012
ETTh1,heterogeneous_sparse,0.41740082043422483,0.006741079405141149,0.4394051646558615,0.007090019513343411
ETTh1,homogeneous_dense,0.4401945309083295,0.007980644156773829,0.45559449474060165,0.0024906568506472804
ETTh1,homogeneous_no_memory,0.43956025382658237,0.010711529022528008,0.45473743369147596,0.008491846154489177
ETTh1,homogeneous_sparse,0.4378675720606883,0.0008401549129180047,0.4547363029171221,0.004021806280946688
ETTh2,heterogeneous_dense,0.3441761682701046,0.01870290241754504,0.3976829706983174,0.015945280965733423
ETTh2,heterogeneous_no_memory,0.3253701593632751,0.01604949328333276,0.3851569063836631,0.014269862179948908
ETTh2,heterogeneous_sparse,0.3264963334285246,0.012553115460969535,0.3848969886793428,0.008940102448410916
ETTh2,homogeneous_dense,0.34254700691137147,0.02391820844183056,0.39677485235350196,0.01862861670572611
ETTh2,homogeneous_no_memory,0.3398607384619889,0.011193446786448331,0.3954199492891119,0.007749296992552772
ETTh2,homogeneous_sparse,0.3298240957175947,0.006128514229969872,0.39120754017288845,0.004882810096663541
