data,heterogeneous,seed,comparison,delta_mse,delta_mae
ETTh1,False,7,dense-off,0.00668960471317237,0.008986728817874878
ETTh1,False,7,sparse-off,0.011066558152324657,0.012691347728941094
ETTh1,False,7,sparse-dense,0.004376953439152287,0.0037046189110662153
ETTh1,False,13,dense-off,0.007090268925122045,0.002582855095489889
ETTh1,False,13,sparse-off,-0.004792637438979064,-0.0053519024146528316
ETTh1,False,13,sparse-dense,-0.011882906364101109,-0.00793475751014272
ETTh1,False,21,dense-off,-0.011877042393053039,-0.00899840076598768
ETTh1,False,21,sparse-off,-0.011351966011027781,-0.0073428376373499415
ETTh1,False,21,sparse-dense,0.000525076382025258,0.0016555631286377381
ETTh1,True,7,dense-off,0.0008743258436366697,0.0006832130974976369
ETTh1,True,7,sparse-off,-0.004847439240401097,-0.006066096122538389
ETTh1,True,7,sparse-dense,-0.0057217650840377665,-0.006749309220036026
ETTh1,True,13,dense-off,0.005018208562120985,0.006685151285901192
ETTh1,True,13,sparse-off,0.004336280753026278,0.005152946823501703
ETTh1,True,13,sparse-dense,-0.0006819278090947067,-0.001532204462399489
ETTh1,True,21,dense-off,0.003173430382137743,0.003493695190619539
ETTh1,True,21,sparse-off,-0.010346554918847728,-0.009779802248668978
ETTh1,True,21,sparse-dense,-0.013519985300985471,-0.013273497439288517
ETTh2,False,7,dense-off,-0.012784396478742244,-0.012139755313340606
ETTh2,False,7,sparse-off,-0.014788005146259608,-0.004861520068760561
ETTh2,False,7,sparse-dense,-0.0020036086675173648,0.007278235244580045
ETTh2,False,13,dense-off,0.027898837238724994,0.01987232729633187
ETTh2,False,13,sparse-off,-0.016892106401243334,-0.010991335886717302
ETTh2,False,13,sparse-dense,-0.04479094363996833,-0.030863663183049173
ETTh2,False,21,dense-off,-0.007055635411834904,-0.003667862789821119
ETTh2,False,21,sparse-off,0.0015701833143205723,0.003215628606807297
ETTh2,False,21,sparse-dense,0.008625818726155476,0.006883491396628416
ETTh2,True,7,dense-off,0.023386220114921197,0.014914219848031318
ETTh2,True,7,sparse-off,-0.008810985793630377,-0.00992006990221872
ETTh2,True,7,sparse-dense,-0.032197205908551574,-0.024834289750250038
ETTh2,True,13,dense-off,0.01272835997063737,0.009176715603164243
ETTh2,True,13,sparse-off,-0.011954703208809703,-0.006099898949371685
ETTh2,True,13,sparse-dense,-0.024683063179447073,-0.015276614552535928
ETTh2,True,21,dense-off,0.02030344663492989,0.013487257492767135
ETTh2,True,21,sparse-off,0.024144211198188437,0.015240215738629492
ETTh2,True,21,sparse-dense,0.0038407645632585474,0.0017529582458623572
