loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290231, 0.291853, 0.340195, 20.99 M Ops, 1.87 M Ops, 2.11 M Ops, 0.0703 M, 0.4963 %, 11.38 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290286, 0.291863, 0.340065, 20.99 M Ops, 1.84 M Ops, 2.10 M Ops, 0.0703 M, 0.4937 %, 11.33 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.324424, 0.326463, 0.370014, 20.99 M Ops, 1.60 M Ops, 2.13 M Ops, 0.0703 M, 0.5073 %, 11.23 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290634, 0.292350, 0.340754, 20.99 M Ops, 1.87 M Ops, 2.13 M Ops, 0.0703 M, 1.7694 %, 11.47 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.289095, 0.290956, 0.340417, 11.60 M Ops, 1.62 M Ops, 1.94 M Ops, 0.0593 M, 1.7677 %, 10.37 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.291403, 0.293198, 0.341206, 11.60 M Ops, 1.55 M Ops, 1.94 M Ops, 0.0593 M, 1.7629 %, 10.31 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290090, 0.291852, 0.341157, 11.17 M Ops, 1.69 M Ops, 1.83 M Ops, 0.0588 M, 1.7301 %, 9.94 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.289917, 0.291590, 0.341235, 11.17 M Ops, 1.66 M Ops, 1.94 M Ops, 0.0588 M, 1.7761 %, 10.41 uJ
