epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.536478,0.536478,0.526937,0.901329,0.901329,0.665223
1,0.417124,0.417124,0.464673,0.862259,0.862259,0.651404
2,0.405309,0.405309,0.457916,0.840712,0.840712,0.643664
3,0.399220,0.399220,0.453305,0.835038,0.835038,0.638050
4,0.393674,0.393674,0.449288,0.822577,0.822577,0.634332
5,0.388751,0.388751,0.446478,0.800569,0.800569,0.624189
6,0.384130,0.384130,0.443541,0.793016,0.793016,0.621237
7,0.379490,0.379490,0.440585,0.795642,0.795642,0.620128
8,0.375555,0.375555,0.437784,0.792456,0.792456,0.616564
9,0.372230,0.372230,0.435738,0.777274,0.777274,0.609578
10,0.368543,0.368543,0.433343,0.795594,0.795594,0.615989
11,0.365523,0.365523,0.431200,0.778912,0.778912,0.607255
12,0.364212,0.364212,0.430669,0.783938,0.783938,0.608602
13,0.361007,0.361007,0.428405,0.783824,0.783824,0.608728
14,0.359997,0.359997,0.427749,0.788744,0.788744,0.609528
15,0.359286,0.359286,0.427331,0.774702,0.774702,0.602961
16,0.358145,0.358145,0.426366,0.783474,0.783474,0.606308
17,0.357572,0.357572,0.425947,0.779128,0.779128,0.605512
18,0.356984,0.356984,0.425832,0.787365,0.787365,0.607609
19,0.355278,0.355278,0.424851,0.779199,0.779199,0.604504
20,0.354505,0.354505,0.424228,0.776985,0.776985,0.604844
21,0.354563,0.354563,0.424256,0.776077,0.776077,0.603940
