loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384924, 0.383917, 0.403975, 63.18 M Ops, 8.18 M Ops, 5.78 M Ops, 0.1471 M, 0.4290 %, 33.94 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384132, 0.383117, 0.403703, 63.18 M Ops, 8.24 M Ops, 5.78 M Ops, 0.1532 M, 0.4294 %, 33.99 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384132, 0.383117, 0.403703, 63.18 M Ops, 8.24 M Ops, 5.78 M Ops, 0.1532 M, 0.4294 %, 33.99 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384572, 0.383483, 0.404429, 63.18 M Ops, 8.33 M Ops, 5.78 M Ops, 0.1532 M, 0.4296 %, 34.07 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384132, 0.383117, 0.403703, 63.18 M Ops, 8.24 M Ops, 5.78 M Ops, 0.1491 M, 0.4294 %, 33.99 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384767, 0.383736, 0.404896, 63.18 M Ops, 8.17 M Ops, 5.93 M Ops, 0.1491 M, 0.4713 %, 34.63 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.386993, 0.386082, 0.405710, 63.18 M Ops, 8.16 M Ops, 5.93 M Ops, 0.1491 M, 0.4699 %, 34.62 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.387589, 0.386585, 0.406117, 63.18 M Ops, 8.18 M Ops, 5.93 M Ops, 0.1491 M, 0.4712 %, 34.64 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.383431, 0.382475, 0.403504, 63.96 M Ops, 8.32 M Ops, 5.58 M Ops, 0.1450 M, 0.5108 %, 33.15 uJ
