epoch,train_loss,train_score,train_distill,val_loss,val_score,val_distill
0,0.194955,0.126488,0.068467,0.084193,tensor(0.0002),0.057943
1,0.132222,0.069914,0.062308,0.085245,tensor(0.0001),0.063186
2,0.135043,0.069336,0.065707,0.087722,tensor(9.8339e-05),0.067234
3,0.137213,0.066372,0.070842,0.088728,tensor(0.0001),0.068011
4,0.143459,0.068837,0.074622,0.092971,tensor(8.7212e-05),0.074792
5,0.147496,0.068327,0.079168,0.098774,tensor(7.5005e-05),0.080927
6,0.146571,0.064227,0.082343,0.099483,tensor(0.0001),0.080139
7,0.149875,0.065775,0.084100,0.105294,tensor(8.9280e-05),0.086839
8,0.149668,0.065270,0.084398,0.102619,tensor(7.9781e-05),0.085054
9,0.145359,0.060419,0.084941,0.096052,tensor(6.9978e-05),0.081961
10,0.148864,0.063457,0.085407,0.097054,tensor(9.7739e-05),0.083738
11,0.153353,0.067350,0.086003,0.099026,tensor(6.7101e-05),0.085601
12,0.148012,0.061765,0.086247,0.098506,tensor(9.3590e-05),0.085373
13,0.150077,0.063790,0.086287,0.096774,tensor(7.5604e-05),0.083796
14,0.146179,0.059333,0.086846,0.099696,tensor(6.4665e-05),0.086601
15,0.148548,0.061571,0.086977,0.098851,tensor(7.5034e-05),0.085507
16,0.146516,0.059230,0.087286,0.097970,tensor(5.5823e-05),0.084979
17,0.146783,0.059172,0.087611,0.101224,tensor(4.5271e-05),0.088181
18,0.148500,0.060551,0.087949,0.102229,tensor(8.9328e-05),0.088965
19,0.149706,0.062211,0.087495,0.097629,tensor(7.3229e-05),0.085190
20,0.151702,0.063203,0.088499,0.098073,tensor(9.8179e-05),0.085236
21,0.149126,0.060622,0.088503,0.101123,tensor(5.3768e-05),0.088733
22,0.150236,0.061544,0.088692,0.104177,tensor(7.7949e-05),0.091189
23,0.152015,0.063248,0.088767,0.100197,tensor(7.1386e-05),0.087500
24,0.150627,0.061978,0.088649,0.103658,tensor(6.4459e-05),0.090943
