loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407952, 0.406073, 0.434523, 111.21 M Ops, 14.64 M Ops, 5.52 M Ops, 0.6650 M, 0.4789 %, 38.57 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.408276, 0.406402, 0.434635, 111.21 M Ops, 14.64 M Ops, 5.50 M Ops, 0.6650 M, 0.4749 %, 38.49 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407952, 0.406073, 0.434523, 111.21 M Ops, 14.64 M Ops, 5.52 M Ops, 0.6642 M, 0.4789 %, 38.57 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.408324, 0.406399, 0.434336, 111.21 M Ops, 14.48 M Ops, 5.58 M Ops, 0.6642 M, 0.4930 %, 38.69 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.408720, 0.406830, 0.434858, 111.21 M Ops, 14.55 M Ops, 5.58 M Ops, 0.6642 M, 0.4911 %, 38.76 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.410881, 0.408996, 0.436346, 110.43 M Ops, 14.50 M Ops, 5.93 M Ops, 0.6650 M, 0.4601 %, 40.32 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.411199, 0.409309, 0.436462, 110.43 M Ops, 14.51 M Ops, 5.93 M Ops, 0.6650 M, 0.4600 %, 40.33 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.409751, 0.407819, 0.435816, 110.43 M Ops, 14.46 M Ops, 5.93 M Ops, 0.6650 M, 0.4595 %, 40.29 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.409068, 0.407183, 0.435385, 110.43 M Ops, 14.50 M Ops, 5.15 M Ops, 0.6642 M, 0.3923 %, 36.75 uJ
