epoch,train_loss,train_score,val_loss,val_score,val_rec,val_distill
0,0.062186,0.062186,0.048849,0.048849,0.000000,0.000000
1,0.032918,0.032918,0.027115,0.027115,0.000000,0.000000
2,0.018891,0.018891,0.016276,0.016276,0.000000,0.000000
3,0.012594,0.012594,0.012183,0.012183,0.000000,0.000000
4,0.010017,0.010017,0.010372,0.010372,0.000000,0.000000
5,0.008752,0.008752,0.009405,0.009405,0.000000,0.000000
6,0.008017,0.008017,0.008826,0.008826,0.000000,0.000000
7,0.007524,0.007524,0.008344,0.008344,0.000000,0.000000
8,0.007153,0.007153,0.008043,0.008043,0.000000,0.000000
9,0.006907,0.006907,0.007842,0.007842,0.000000,0.000000
10,0.006709,0.006709,0.007605,0.007605,0.000000,0.000000
11,0.006568,0.006568,0.007523,0.007523,0.000000,0.000000
12,0.006460,0.006460,0.007365,0.007365,0.000000,0.000000
13,0.006357,0.006357,0.007241,0.007241,0.000000,0.000000
14,0.006273,0.006273,0.007164,0.007164,0.000000,0.000000
15,0.006204,0.006204,0.007067,0.007067,0.000000,0.000000
16,0.006167,0.006167,0.007043,0.007043,0.000000,0.000000
17,0.006106,0.006106,0.006977,0.006977,0.000000,0.000000
18,0.006059,0.006059,0.006915,0.006915,0.000000,0.000000
19,0.006025,0.006025,0.006898,0.006898,0.000000,0.000000
20,0.005991,0.005991,0.006835,0.006835,0.000000,0.000000
21,0.005965,0.005965,0.006794,0.006794,0.000000,0.000000
22,0.005937,0.005937,0.006772,0.006772,0.000000,0.000000
23,0.005916,0.005916,0.006757,0.006757,0.000000,0.000000
24,0.005892,0.005892,0.006740,0.006740,0.000000,0.000000
25,0.005869,0.005869,0.006684,0.006684,0.000000,0.000000
26,0.005850,0.005850,0.006702,0.006702,0.000000,0.000000
27,0.005837,0.005837,0.006814,0.006814,0.000000,0.000000
28,0.005821,0.005821,0.006657,0.006657,0.000000,0.000000
29,0.005804,0.005804,0.006683,0.006683,0.000000,0.000000
30,0.005799,0.005799,0.006671,0.006671,0.000000,0.000000
31,0.005789,0.005789,0.006638,0.006638,0.000000,0.000000
32,0.005779,0.005779,0.006595,0.006595,0.000000,0.000000
33,0.005782,0.005782,0.006643,0.006643,0.000000,0.000000
34,0.005763,0.005763,0.006582,0.006582,0.000000,0.000000
35,0.005753,0.005753,0.006575,0.006575,0.000000,0.000000
36,0.005754,0.005754,0.006580,0.006580,0.000000,0.000000
37,0.005747,0.005747,0.006551,0.006551,0.000000,0.000000
38,0.005739,0.005739,0.006586,0.006586,0.000000,0.000000
39,0.005728,0.005728,0.006563,0.006563,0.000000,0.000000
40,0.005722,0.005722,0.006543,0.006543,0.000000,0.000000
41,0.005703,0.005703,0.006521,0.006521,0.000000,0.000000
42,0.005695,0.005695,0.006482,0.006482,0.000000,0.000000
43,0.005688,0.005688,0.006500,0.006500,0.000000,0.000000
44,0.005682,0.005682,0.006487,0.006487,0.000000,0.000000
45,0.005674,0.005674,0.006450,0.006450,0.000000,0.000000
46,0.005664,0.005664,0.006518,0.006518,0.000000,0.000000
47,0.005660,0.005660,0.006425,0.006425,0.000000,0.000000
48,0.005639,0.005639,0.006457,0.006457,0.000000,0.000000
49,0.005634,0.005634,0.006440,0.006440,0.000000,0.000000
