epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.778100,0.778100,0.649757,1.070935,1.070935,0.736617
1,0.598264,0.598264,0.559431,1.059747,1.059747,0.730481
2,0.582701,0.582701,0.551212,1.052109,1.052109,0.726585
3,0.573625,0.573625,0.546890,1.048199,1.048199,0.724440
4,0.565708,0.565708,0.543214,1.050897,1.050897,0.724705
5,0.561434,0.561434,0.541617,1.046611,1.046611,0.725746
6,0.557790,0.557790,0.540232,1.038615,1.038615,0.721400
7,0.556869,0.556869,0.539905,1.041805,1.041805,0.722588
8,0.555398,0.555398,0.538791,1.049776,1.049776,0.725713
9,0.554185,0.554185,0.538087,1.045768,1.045768,0.723034
