loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.459640, 0.443485, 0.455663, 0.593573, 188.24 M Ops, 29.65 M Ops, 7.64 M Ops, 0.4779 M, 0.3877 %, 61.84 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.459640, 0.443485, 0.455663, 0.593573, 188.24 M Ops, 29.65 M Ops, 7.64 M Ops, 0.4779 M, 0.3877 %, 61.84 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.459640, 0.443485, 0.455663, 0.593573, 188.24 M Ops, 29.65 M Ops, 7.64 M Ops, 0.4779 M, 0.3877 %, 61.84 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.462368, 0.442728, 0.457544, 0.594266, 188.24 M Ops, 31.42 M Ops, 7.64 M Ops, 0.4779 M, 0.3855 %, 63.43 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.463277, 0.443555, 0.458025, 0.593508, 188.24 M Ops, 31.01 M Ops, 7.64 M Ops, 0.4779 M, 0.3832 %, 63.06 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.461391, 0.442310, 0.456955, 0.594649, 195.22 M Ops, 32.84 M Ops, 8.38 M Ops, 0.4779 M, 0.3881 %, 68.09 uJ
