input,alpha,tau,n,current,upstream_U_next,upstream_spike,independent_U_next,independent_spike
constant,0.3,4.0,0,1.5,0.41784094070523814,0.0,0.4178409407052381,0.0
constant,0.3,4.0,1,1.5,0.3980285053297462,0.0,0.3980285053297461,0.0
constant,0.3,4.0,2,1.5,0.4431826179900058,0.0,0.44318261799000574,0.0
constant,0.3,4.0,3,1.5,0.4657119152308536,0.0,0.4657119152308535,0.0
constant,0.3,4.0,4,1.5,0.48666851492700375,0.0,0.48666851492700364,0.0
constant,0.3,4.0,5,1.5,0.5039253506522384,0.0,0.5039253506522384,0.0
constant,0.3,4.0,6,1.5,0.5190207918051242,0.0,0.5190207918051241,0.0
constant,0.3,4.0,7,1.5,0.5323588839290002,0.0,0.5323588839290001,0.0
constant,0.3,4.0,8,1.5,0.5443318090068816,0.0,0.5443318090068816,0.0
constant,0.3,4.0,9,1.5,0.5551944125618905,0.0,0.5551944125618904,0.0
constant,0.3,4.0,10,1.5,0.5651392591761433,0.0,0.5651392591761433,0.0
constant,0.3,4.0,11,1.5,0.5743115139168016,0.0,0.5743115139168015,0.0
constant,0.3,4.0,12,1.5,0.5828242093724323,0.0,0.5828242093724321,0.0
constant,0.3,4.0,13,1.5,0.5907669704130771,0.0,0.5907669704130771,0.0
constant,0.3,4.0,14,1.5,0.5982121328967434,0.0,0.5982121328967434,0.0
constant,0.3,4.0,15,1.5,0.6052189425320949,0.0,0.6052189425320946,0.0
constant,0.3,4.0,16,1.5,0.6118365544490267,0.0,0.6118365544490266,0.0
constant,0.3,4.0,17,1.5,0.6181062153544455,0.0,0.6181062153544454,0.0
constant,0.3,4.0,18,1.5,0.6240628840493302,0.0,0.6240628840493302,0.0
constant,0.3,4.0,19,1.5,0.629736455405605,0.0,0.629736455405605,0.0
constant,0.3,4.0,20,1.5,0.6351526991834874,0.0,0.6351526991834874,0.0
constant,0.3,4.0,21,1.5,0.6403339900636903,0.0,0.6403339900636902,0.0
constant,0.3,4.0,22,1.5,0.6452998823935341,0.0,0.6452998823935341,0.0
constant,0.3,4.0,23,1.5,0.6500675677741165,0.0,0.6500675677741163,0.0
constant,0.3,4.0,24,1.5,0.6546522431028502,0.0,0.6546522431028501,0.0
constant,0.3,4.0,25,1.5,0.6590674093642084,0.0,0.6590674093642084,0.0
constant,0.3,4.0,26,1.5,0.6633251162809011,0.0,0.6633251162809009,0.0
constant,0.3,4.0,27,1.5,0.6674361642176301,0.0,0.6674361642176301,0.0
constant,0.3,4.0,28,1.5,0.6714102720220594,0.0,0.6714102720220592,0.0
constant,0.3,4.0,29,1.5,0.6752562174924999,0.0,0.6752562174924999,0.0
constant,0.3,4.0,30,1.5,0.6789819556746259,0.0,0.6789819556746258,0.0
constant,0.3,4.0,31,1.5,0.682594719069175,0.0,0.682594719069175,0.0
constant,0.3,4.0,32,1.5,0.6861011029801365,0.0,0.6861011029801365,0.0
constant,0.3,4.0,33,1.5,0.6895071385783705,0.0,0.6895071385783703,0.0
constant,0.3,4.0,34,1.5,0.692818355748613,0.0,0.692818355748613,0.0
constant,0.3,4.0,35,1.5,0.6960398373919727,0.0,0.6960398373919725,0.0
constant,0.3,4.0,36,1.5,0.6991762665445992,0.0,0.6991762665445992,0.0
constant,0.3,4.0,37,1.5,0.7022319674264568,0.0,0.7022319674264565,0.0
constant,0.3,4.0,38,1.5,0.7052109413372951,0.0,0.7052109413372951,0.0
constant,0.3,4.0,39,1.5,0.7081168981589315,0.0,0.7081168981589315,0.0
pulse,0.3,4.0,0,8.0,1.949924389957778,1.0,1.9499243899577778,1.0
pulse,0.3,4.0,1,0.0,-0.3710186588891215,1.0,-0.3710186588891213,1.0
