loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418704, 0.405674, 0.413798, 0.740668, 14.97 M Ops, 2.37 M Ops, 1.27 M Ops, 0.1345 M, 0.2523 %, 7.99 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.420446, 0.408077, 0.415201, 0.739132, 14.97 M Ops, 2.60 M Ops, 1.27 M Ops, 0.1345 M, 0.2552 %, 8.20 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419395, 0.408058, 0.415966, 0.739144, 14.97 M Ops, 2.58 M Ops, 1.27 M Ops, 0.1345 M, 0.2516 %, 8.18 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.421142, 0.409682, 0.416400, 0.738106, 14.97 M Ops, 2.58 M Ops, 1.27 M Ops, 0.1345 M, 0.2486 %, 8.18 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.421142, 0.409682, 0.416400, 0.738106, 14.97 M Ops, 2.58 M Ops, 1.27 M Ops, 0.1345 M, 0.2433 %, 8.18 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419276, 0.407319, 0.414733, 0.739616, 14.95 M Ops, 2.56 M Ops, 1.27 M Ops, 0.1345 M, 0.2498 %, 8.16 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417776, 0.406588, 0.414986, 0.740084, 14.95 M Ops, 2.12 M Ops, 1.27 M Ops, 0.1345 M, 0.2496 %, 7.77 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419951, 0.411452, 0.417613, 0.736974, 14.95 M Ops, 0.95 M Ops, 10.38 M Ops, 0.1345 M, 0.2691 %, 48.61 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.422661, 0.411746, 0.416926, 0.736786, 14.95 M Ops, 2.51 M Ops, 1.71 M Ops, 0.1345 M, 0.2676 %, 10.11 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.423085, 0.411095, 0.417104, 0.737202, 14.95 M Ops, 2.46 M Ops, 1.71 M Ops, 0.1345 M, 0.2676 %, 10.07 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.421517, 0.410066, 0.416599, 0.737861, 14.95 M Ops, 2.49 M Ops, 1.71 M Ops, 0.1345 M, 0.2669 %, 10.10 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419276, 0.407319, 0.414733, 0.739616, 14.95 M Ops, 2.56 M Ops, 1.27 M Ops, 0.1345 M, 0.2498 %, 8.16 uJ
