epoch,train_loss,train_ce,train_mse,train_distill,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.364543,2.202092,0.068351,0.161768,2.370409,2.211983,0.063656,0.157790,"tensor(0.1108, device='cuda:0')","tensor([0.1935, 0.7714, 0.0000, 0.0909, 0.0000, 0.0000, 0.0000, 0.0800, 0.0000],
       device='cuda:0')","tensor(0.0654, device='cuda:0')","tensor(0.1664, device='cuda:0')"
1,2.209482,2.054193,0.065613,0.154632,1.982552,1.848451,0.066123,0.133439,"tensor(0.8216, device='cuda:0')","tensor([1.0000, 0.9429, 0.8523, 0.9545, 1.0000, 1.0000, 1.0000, 0.0800, 0.8966],
       device='cuda:0')","tensor(0.8009, device='cuda:0')","tensor(0.8560, device='cuda:0')"
2,1.899666,1.760028,0.079333,0.138845,1.625022,1.497213,0.089323,0.126917,"tensor(0.8784, device='cuda:0')","tensor([1.0000, 0.9429, 0.9432, 0.9545, 1.0000, 1.0000, 1.0000, 0.3400, 0.8966],
       device='cuda:0')","tensor(0.8688, device='cuda:0')","tensor(0.8904, device='cuda:0')"
3,1.582119,1.454501,0.118140,0.126437,1.278314,1.156423,0.123581,0.120656,"tensor(0.9054, device='cuda:0')","tensor([0.9677, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.5000, 0.9655],
       device='cuda:0')","tensor(0.9013, device='cuda:0')","tensor(0.9109, device='cuda:0')"
4,1.279791,1.158512,0.161209,0.119667,0.971273,0.854986,0.161901,0.114668,"tensor(0.9135, device='cuda:0')","tensor([0.9032, 0.9429, 0.9318, 0.9318, 1.0000, 1.0000, 1.0000, 0.6600, 0.9655],
       device='cuda:0')","tensor(0.9127, device='cuda:0')","tensor(0.9190, device='cuda:0')"
5,1.034574,0.913672,0.172290,0.119180,0.747224,0.632689,0.178744,0.112748,"tensor(0.9270, device='cuda:0')","tensor([0.8710, 0.9429, 0.9545, 0.9091, 1.0000, 1.0000, 0.9750, 0.7600, 1.0000],
       device='cuda:0')","tensor(0.9263, device='cuda:0')","tensor(0.9359, device='cuda:0')"
6,0.866235,0.746630,0.192500,0.117680,0.599393,0.485543,0.195730,0.111893,"tensor(0.9189, device='cuda:0')","tensor([0.8710, 0.9429, 0.9659, 0.8864, 1.0000, 1.0000, 0.9750, 0.7000, 1.0000],
       device='cuda:0')","tensor(0.9182, device='cuda:0')","tensor(0.9323, device='cuda:0')"
7,0.766316,0.647972,0.200054,0.116344,0.478692,0.365350,0.196819,0.111373,"tensor(0.9351, device='cuda:0')","tensor([0.8710, 0.9429, 0.9773, 0.9545, 1.0000, 1.0000, 0.9750, 0.7400, 1.0000],
       device='cuda:0')","tensor(0.9340, device='cuda:0')","tensor(0.9442, device='cuda:0')"
8,0.705849,0.590542,0.199334,0.113314,0.459398,0.347372,0.203063,0.109995,"tensor(0.9108, device='cuda:0')","tensor([0.7742, 0.9429, 0.9773, 0.9545, 0.9655, 1.0000, 0.9750, 0.6400, 1.0000],
       device='cuda:0')","tensor(0.9080, device='cuda:0')","tensor(0.9303, device='cuda:0')"
9,0.670744,0.558640,0.201123,0.110092,0.390382,0.280472,0.194352,0.107966,"tensor(0.9595, device='cuda:0')","tensor([1.0000, 0.9714, 1.0000, 0.9545, 1.0000, 1.0000, 1.0000, 0.8000, 0.9310],
       device='cuda:0')","tensor(0.9589, device='cuda:0')","tensor(0.9603, device='cuda:0')"
