epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.550083,0.550083,0.535189,0.939043,0.939043,0.682832
1,0.426034,0.426034,0.469760,0.904234,0.904234,0.669329
2,0.411281,0.411281,0.461497,0.860883,0.860883,0.649608
3,0.399975,0.399975,0.454733,0.849836,0.849836,0.642909
4,0.392570,0.392570,0.449430,0.835102,0.835102,0.638264
5,0.387652,0.387652,0.446141,0.813548,0.813548,0.628718
6,0.385643,0.385643,0.445043,0.809244,0.809244,0.626980
7,0.382458,0.382458,0.443116,0.814247,0.814247,0.629092
8,0.378913,0.378913,0.440822,0.805350,0.805350,0.625384
9,0.377831,0.377831,0.440389,0.800301,0.800301,0.622573
