loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.365740, 0.351830, 0.385506, 70.77 M Ops, 8.15 M Ops, 5.20 M Ops, 0.2291 M, 0.3955 %, 31.24 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.367697, 0.352352, 0.385800, 70.77 M Ops, 8.16 M Ops, 5.20 M Ops, 0.2291 M, 0.3972 %, 31.24 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.399314, 0.380495, 0.411371, 26.52 M Ops, 2.99 M Ops, 4.80 M Ops, 0.0485 M, 0.3654 %, 24.77 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.400345, 0.383032, 0.412410, 66.42 M Ops, 7.55 M Ops, 5.56 M Ops, 0.0819 M, 0.3669 %, 32.36 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.366949, 0.351782, 0.385551, 70.77 M Ops, 8.15 M Ops, 5.20 M Ops, 0.2291 M, 0.3952 %, 31.23 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.369752, 0.351805, 0.385541, 70.77 M Ops, 8.16 M Ops, 5.20 M Ops, 0.2291 M, 0.3952 %, 31.24 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.367319, 0.351580, 0.385508, 70.77 M Ops, 8.16 M Ops, 5.20 M Ops, 0.2291 M, 0.3955 %, 31.24 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.366358, 0.351515, 0.385449, 70.77 M Ops, 8.15 M Ops, 5.20 M Ops, 0.2291 M, 0.3953 %, 31.23 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.368455, 0.353980, 0.385728, 71.94 M Ops, 8.26 M Ops, 5.60 M Ops, 0.2291 M, 0.5095 %, 33.18 uJ
