epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.534959,0.534959,0.525475,0.854938,0.854938,0.646136
1,0.400143,0.400143,0.453475,0.780837,0.780837,0.610221
2,0.378370,0.378370,0.439894,0.760657,0.760657,0.605947
3,0.368199,0.368199,0.434011,0.758970,0.758970,0.603693
4,0.362097,0.362097,0.430614,0.764514,0.764514,0.607814
5,0.357219,0.357219,0.427867,0.751525,0.751525,0.597105
6,0.352541,0.352541,0.424587,0.786797,0.786797,0.605676
7,0.349701,0.349701,0.423417,0.801495,0.801495,0.607042
8,0.346363,0.346363,0.421340,0.807364,0.807364,0.606646
9,0.341244,0.341244,0.417912,0.815685,0.815685,0.606674
10,0.340867,0.340867,0.417764,0.807807,0.807807,0.603507
11,0.338804,0.338804,0.416264,0.805350,0.805350,0.603539
