loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.399552, 0.397778, 0.429754, 180.55 M Ops, 26.87 M Ops, 6.78 M Ops, 0.4761 M, 0.3641 %, 55.36 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.407032, 0.397778, 0.429754, -0.031879, 180.55 M Ops, 26.87 M Ops, 6.78 M Ops, 0.4761 M, 0.3792 %, 55.36 uJ
