loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.424359, 0.422561, 0.439662, 252.56 M Ops, 32.18 M Ops, 4.12 M Ops, 1.3173 M, 0.2960 %, 47.92 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.428437, 0.426749, 0.441294, 252.56 M Ops, 31.77 M Ops, 4.12 M Ops, 1.3173 M, 0.2940 %, 47.54 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.423612, 0.421828, 0.438916, 283.66 M Ops, 34.66 M Ops, 4.57 M Ops, 1.3173 M, 0.3909 %, 52.20 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.427048, 0.425187, 0.440587, 229.13 M Ops, 27.43 M Ops, 6.11 M Ops, 1.2506 M, 0.4673 %, 52.80 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.419299, 0.417556, 0.437682, 229.32 M Ops, 27.59 M Ops, 4.98 M Ops, 1.2506 M, 0.4833 %, 47.71 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.419299, 0.417556, 0.437682, 229.32 M Ops, 27.59 M Ops, 4.98 M Ops, 1.2506 M, 0.4833 %, 47.71 uJ
