epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.272474,0.252806,0.019669,0.064050,0.051672,0.041544,0.010128,0.042063
1,0.157842,0.143660,0.014182,0.057376,0.041027,0.031594,0.009433,0.039418
2,0.149657,0.136262,0.013394,0.056216,0.038026,0.029313,0.008713,0.039791
3,0.145856,0.132763,0.013093,0.056737,0.036709,0.028327,0.008382,0.038837
4,0.144149,0.131440,0.012710,0.056137,0.034647,0.026733,0.007914,0.038953
5,0.142159,0.129738,0.012422,0.055810,0.034288,0.026425,0.007863,0.039881
6,0.141802,0.129511,0.012291,0.055441,0.034455,0.026672,0.007783,0.039149
7,0.141141,0.128692,0.012449,0.056369,0.034781,0.026753,0.008028,0.040223
8,0.140375,0.128116,0.012259,0.055988,0.034126,0.026262,0.007865,0.040251
9,0.140566,0.128440,0.012126,0.055304,0.034315,0.026535,0.007781,0.038874
10,0.139914,0.127937,0.011978,0.055229,0.032769,0.025017,0.007751,0.038822
11,0.142472,0.130516,0.011956,0.055024,0.033019,0.025284,0.007735,0.038869
12,0.138785,0.126828,0.011957,0.055140,0.033506,0.025237,0.008269,0.039655
13,0.142393,0.130462,0.011931,0.054689,0.033516,0.025958,0.007558,0.038498
