loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1, acc2, acc3
1.404785, 0.304182, 0.303963, 0.243122, 0.369594, 0.303963, 14689.71 M Ops, 335.73 M Ops, 1317.51 M Ops, 7.9857 M, 0.5135 %, 6362.69 uJ, 0.803030, 0.106061, 0.060606, 0.246154
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1, acc2, acc3
1.446053, 0.292776, 0.292308, 0.248836, 0.320773, 0.292308, 14689.71 M Ops, 232.92 M Ops, 1317.51 M Ops, 7.9857 M, 0.4970 %, 6270.16 uJ, 0.742424, 0.121212, 0.136364, 0.169231
