epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.678530,0.528165,0.822783,0.142137,0.000003,0.409199,0.277592,0.848092,0.123126,0.278259,0.373260
1,0.574335,0.467852,0.881564,0.097668,0.000001,0.355086,0.257678,0.897359,0.088434,0.257685,0.357595
2,0.513960,0.435483,0.900612,0.069472,0.000002,0.318722,0.241987,0.910246,0.067632,0.242371,0.344677
3,0.477631,0.410971,0.901746,0.057642,0.000003,0.299681,0.231170,0.910491,0.059406,0.231321,0.334766
4,0.454891,0.393289,0.902695,0.052576,0.000003,0.290855,0.225631,0.910872,0.056116,0.225480,0.328953
5,0.442124,0.381985,0.902593,0.051114,0.000003,0.285313,0.220664,0.910482,0.055544,0.220823,0.324839
6,0.430076,0.370866,0.899346,0.050216,0.000002,0.281516,0.219028,0.908334,0.053405,0.219067,0.322919
7,0.420229,0.361638,0.896223,0.049628,0.000002,0.281794,0.218799,0.903909,0.053956,0.218696,0.322494
8,0.411421,0.352722,0.892095,0.049778,0.000002,0.279784,0.217368,0.900049,0.053416,0.217125,0.321183
9,0.402923,0.344730,0.889658,0.049296,0.000002,0.279490,0.217038,0.895554,0.053496,0.216968,0.320810
10,0.397497,0.339376,0.885644,0.049265,0.000002,0.279867,0.217900,0.893674,0.053031,0.217855,0.321133
11,0.392352,0.334192,0.883172,0.049328,0.000001,0.281981,0.219543,0.886771,0.053570,0.219165,0.322134
12,0.382992,0.325008,0.880007,0.049185,0.000002,0.283716,0.221417,0.885648,0.053443,0.220513,0.322755
13,0.380342,0.322346,0.878389,0.049212,0.000002,0.282250,0.220049,0.885238,0.053348,0.220252,0.322518
14,0.379377,0.321398,0.877804,0.049201,0.000002,0.282430,0.219785,0.883987,0.053805,0.219958,0.322360
15,0.377977,0.319993,0.877524,0.049209,0.000001,0.282910,0.220710,0.883984,0.053360,0.220490,0.322669
16,0.377832,0.319900,0.877015,0.049161,0.000001,0.282122,0.219985,0.883953,0.053297,0.220141,0.322476
