epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.531973,0.531973,0.527575,0.847551,0.847551,0.645764
1,0.395318,0.395318,0.450556,0.789710,0.789710,0.621918
2,0.378579,0.378579,0.440051,0.761964,0.761964,0.606797
3,0.368684,0.368684,0.433351,0.752551,0.752551,0.602781
4,0.361418,0.361418,0.428025,0.734931,0.734931,0.593334
5,0.355083,0.355083,0.424478,0.733137,0.733137,0.593257
6,0.349758,0.349758,0.421271,0.734519,0.734519,0.592317
7,0.345192,0.345192,0.418399,0.724920,0.724920,0.587674
8,0.342034,0.342034,0.416640,0.730877,0.730877,0.589268
9,0.338384,0.338384,0.414469,0.742092,0.742092,0.591306
