loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.422479, 0.420884, 0.439344, 42.73 M Ops, 6.04 M Ops, 1.28 M Ops, 0.4095 M, 0.3751 %, 11.30 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.422282, 0.420684, 0.439245, 42.73 M Ops, 6.07 M Ops, 1.28 M Ops, 0.4095 M, 0.3824 %, 11.36 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.424118, 0.422517, 0.440770, 42.73 M Ops, 3.37 M Ops, 1.28 M Ops, 0.4095 M, 0.3779 %, 8.91 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.423170, 0.421476, 0.439474, 64.14 M Ops, 6.02 M Ops, 1.80 M Ops, 0.4343 M, 0.3758 %, 13.71 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.424501, 0.422824, 0.440517, 59.99 M Ops, 7.97 M Ops, 1.73 M Ops, 0.4298 M, 0.3820 %, 15.15 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.422109, 0.420514, 0.439263, 51.66 M Ops, 6.92 M Ops, 1.41 M Ops, 0.4200 M, 0.3933 %, 12.70 uJ
