epoch,train_loss,train_score,val_loss,val_score,val_rec,val_distill
0,0.214655,0.214655,0.167047,0.167047,0.000000,0.000000
1,0.162240,0.162240,0.127119,0.127119,0.000000,0.000000
2,0.134019,0.134019,0.096235,0.096235,0.000000,0.000000
3,0.109545,0.109545,0.087047,0.087047,0.000000,0.000000
4,0.096439,0.096439,0.076262,0.076262,0.000000,0.000000
5,0.085367,0.085367,0.071141,0.071141,0.000000,0.000000
6,0.075766,0.075766,0.065228,0.065228,0.000000,0.000000
7,0.068812,0.068812,0.060312,0.060312,0.000000,0.000000
8,0.061250,0.061250,0.054927,0.054927,0.000000,0.000000
9,0.054177,0.054177,0.052773,0.052773,0.000000,0.000000
10,0.049165,0.049165,0.049888,0.049888,0.000000,0.000000
11,0.044189,0.044189,0.046709,0.046709,0.000000,0.000000
12,0.041356,0.041356,0.044087,0.044087,0.000000,0.000000
13,0.039733,0.039733,0.041604,0.041604,0.000000,0.000000
14,0.037997,0.037997,0.039797,0.039797,0.000000,0.000000
15,0.036038,0.036038,0.038313,0.038313,0.000000,0.000000
16,0.034533,0.034533,0.037329,0.037329,0.000000,0.000000
17,0.033202,0.033202,0.036122,0.036122,0.000000,0.000000
18,0.030780,0.030780,0.034801,0.034801,0.000000,0.000000
19,0.028861,0.028861,0.033381,0.033381,0.000000,0.000000
20,0.027857,0.027857,0.032726,0.032726,0.000000,0.000000
21,0.026518,0.026518,0.031017,0.031017,0.000000,0.000000
22,0.025322,0.025322,0.030502,0.030502,0.000000,0.000000
23,0.025763,0.025763,0.030323,0.030323,0.000000,0.000000
24,0.025220,0.025220,0.030231,0.030231,0.000000,0.000000
25,0.024991,0.024991,0.030328,0.030328,0.000000,0.000000
26,0.025143,0.025143,0.029134,0.029134,0.000000,0.000000
27,0.025216,0.025216,0.028326,0.028326,0.000000,0.000000
28,0.023707,0.023707,0.027234,0.027234,0.000000,0.000000
29,0.024356,0.024356,0.029318,0.029318,0.000000,0.000000
30,0.023104,0.023104,0.027188,0.027188,0.000000,0.000000
31,0.020855,0.020855,0.026230,0.026230,0.000000,0.000000
32,0.021045,0.021045,0.025896,0.025896,0.000000,0.000000
33,0.022655,0.022655,0.026394,0.026394,0.000000,0.000000
34,0.020197,0.020197,0.024987,0.024987,0.000000,0.000000
35,0.019411,0.019411,0.024955,0.024955,0.000000,0.000000
36,0.018638,0.018638,0.025096,0.025096,0.000000,0.000000
37,0.017803,0.017803,0.023696,0.023696,0.000000,0.000000
38,0.017778,0.017778,0.023929,0.023929,0.000000,0.000000
39,0.017639,0.017639,0.023350,0.023350,0.000000,0.000000
40,0.017570,0.017570,0.023249,0.023249,0.000000,0.000000
41,0.017728,0.017728,0.023860,0.023860,0.000000,0.000000
42,0.018064,0.018064,0.023582,0.023582,0.000000,0.000000
43,0.018615,0.018615,0.022762,0.022762,0.000000,0.000000
44,0.019134,0.019134,0.023582,0.023582,0.000000,0.000000
45,0.018665,0.018665,0.022146,0.022146,0.000000,0.000000
46,0.017850,0.017850,0.022717,0.022717,0.000000,0.000000
47,0.016991,0.016991,0.022188,0.022188,0.000000,0.000000
48,0.016667,0.016667,0.021981,0.021981,0.000000,0.000000
49,0.016727,0.016727,0.022553,0.022553,0.000000,0.000000
50,0.016406,0.016406,0.022563,0.022563,0.000000,0.000000
51,0.015726,0.015726,0.022283,0.022283,0.000000,0.000000
