epoch,train_loss,train_score,val_loss,val_score,val_distill
0,0.525712,0.512167,0.418396,tensor(0.0062),0.019826
1,0.426287,0.405114,0.328622,tensor(0.0069),0.020911
2,0.347719,0.328171,0.264309,tensor(0.0051),0.018715
3,0.295152,0.275171,0.224358,tensor(0.0042),0.023687
4,0.257486,0.234094,0.186584,tensor(0.0026),0.020419
5,0.229712,0.205182,0.163686,tensor(0.0022),0.021848
6,0.209453,0.181431,0.153607,tensor(0.0032),0.029126
7,0.196875,0.166077,0.139514,tensor(0.0032),0.028130
8,0.182793,0.150750,0.133628,tensor(0.0025),0.033490
9,0.172497,0.139098,0.127309,tensor(0.0023),0.035779
10,0.168216,0.133800,0.115374,tensor(0.0022),0.030594
11,0.161082,0.125646,0.107742,tensor(0.0023),0.028908
12,0.155422,0.119170,0.103989,tensor(0.0012),0.031183
13,0.152606,0.115657,0.103954,tensor(0.0014),0.035170
14,0.144708,0.108180,0.099387,tensor(0.0013),0.033507
15,0.144616,0.107473,0.097099,tensor(0.0010),0.034545
16,0.141702,0.104384,0.088872,tensor(0.0013),0.029649
17,0.137747,0.100661,0.090822,tensor(0.0009),0.034178
18,0.134477,0.097262,0.091242,tensor(0.0009),0.035212
19,0.135327,0.097428,0.091118,tensor(0.0008),0.037727
