epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.529819,0.529819,0.523649,0.861951,0.861951,0.649160
1,0.400267,0.400267,0.452976,0.782230,0.782230,0.617115
2,0.375394,0.375394,0.438385,0.769085,0.769085,0.610582
3,0.367285,0.367285,0.433620,0.785727,0.785727,0.612809
4,0.362475,0.362475,0.430294,0.757284,0.757284,0.601468
5,0.359498,0.359498,0.428897,0.739071,0.739071,0.600218
6,0.356743,0.356743,0.426918,0.754410,0.754410,0.603809
7,0.354800,0.354800,0.425998,0.754632,0.754632,0.599587
8,0.351935,0.351935,0.424293,0.757132,0.757132,0.598837
9,0.347589,0.347589,0.420829,0.760138,0.760138,0.599627
10,0.347049,0.347049,0.420791,0.764772,0.764772,0.598064
11,0.345335,0.345335,0.419449,0.769105,0.769105,0.600125
