heterogeneous,seed,comparison,delta_mse,delta_mae
False,7,dense-off,-0.060288006639628966,-0.021302661671519008
False,7,sparse-dense,0.012267568705251142,0.00388543735574598
False,7,sparse-off,-0.048020437934377824,-0.017417224315773028
False,13,dense-off,-0.0035795645291351597,0.0028189525871876175
False,13,sparse-dense,-0.0023326896485474924,-0.0008881863023254
False,13,sparse-off,-0.005912254177682652,0.0019307662848622176
False,21,dense-off,0.025562714888099414,0.012272073703212705
False,21,sparse-dense,-0.005856794707976232,-0.0031428012987847476
False,21,sparse-off,0.019705920180123182,0.009129272404427957
True,7,dense-off,-0.012025447667998235,-0.006693955891797887
True,7,sparse-dense,-0.0030800105558389523,-0.0008550376260467174
True,7,sparse-off,-0.015105458223837187,-0.007548993517844604
True,13,dense-off,-0.008334783802314838,-0.0012516153625765636
True,13,sparse-dense,-0.011396123373708766,-0.004340941537362419
True,13,sparse-off,-0.019730907176023604,-0.005592556899938983
True,21,dense-off,-0.010357700886836574,-0.0034056185112917303
True,21,sparse-dense,-0.009882272752611443,-0.0034832341138973932
True,21,sparse-off,-0.020239973639448017,-0.0068888526251891236
