data,variant,mse,mse_sd,mae,mae_sd
ETTh1,heterogeneous_dense,0.5621129420937248,0.029065722031126794,0.5472792216415446,0.016001611111605644
ETTh1,heterogeneous_no_memory,0.5608864288906769,0.023048054942118035,0.5474698432823636,0.010957993631060974
ETTh1,heterogeneous_sparse,0.561193343538034,0.0269813639166792,0.546152321761629,0.01450561990441278
ETTh1,homogeneous_dense,0.5762924484367488,0.03195867001427962,0.559713396868276,0.016645094530013654
ETTh1,homogeneous_no_memory,0.564852090807684,0.05675681021708005,0.5502147573970225,0.028731155411671393
ETTh1,homogeneous_sparse,0.5659817423674288,0.030567913041526975,0.5545421165398664,0.016880651752979193
ETTh2,heterogeneous_dense,1.0136145394216522,0.10060806832999615,0.6973807218739484,0.04246717546446019
ETTh2,heterogeneous_no_memory,1.0353196741961332,0.10069394623235566,0.7047575600769068,0.04303858038079633
ETTh2,heterogeneous_sparse,0.9982952001892368,0.09899745700439187,0.6927214795689931,0.042020367645351206
ETTh2,homogeneous_dense,1.0949301954875799,0.12448373624717272,0.7245489226871048,0.042452092114195664
ETTh2,homogeneous_no_memory,1.1319071239704213,0.16093370310178956,0.7381886524124375,0.050459371042312
ETTh2,homogeneous_sparse,1.1079596244560515,0.14644697355355446,0.729623169518605,0.04960363699678201
