data,heterogeneous,seed,comparison,delta_mse,delta_mae
ETTh1,False,7,dense-off,-0.02638053502394344,-0.01020471493932762
ETTh1,False,7,sparse-off,-0.04348622815729253,-0.018348911316926175
ETTh1,False,7,sparse-dense,-0.017105693133349087,-0.008144196377598556
ETTh1,False,13,dense-off,0.03730076617257483,0.022516347959559146
ETTh1,False,13,sparse-off,0.033017018705559176,0.020620077649793345
ETTh1,False,13,sparse-dense,-0.004283747467015653,-0.0018962703097658018
ETTh1,False,21,dense-off,0.02340084173856305,0.016184285393529008
ETTh1,False,21,sparse-off,0.013858164130967854,0.010710911095664577
ETTh1,False,21,sparse-dense,-0.009542677607595196,-0.005473374297864431
ETTh1,True,7,dense-off,-0.010691926775896032,-0.008246017387667948
ETTh1,True,7,sparse-off,-0.010540020482899037,-0.00817112176953283
ETTh1,True,7,sparse-dense,0.00015190629299699498,7.489561813511791e-05
ETTh1,True,13,dense-off,0.01086689430182719,0.005689247760237159
ETTh1,True,13,sparse-off,0.007541435796320606,0.0028804461788696223
ETTh1,True,13,sparse-dense,-0.0033254585055065844,-0.002808801581367537
ETTh1,True,21,dense-off,0.0035045720832124205,0.001984904704973811
ETTh1,True,21,sparse-off,0.003919328628649965,0.0013381110284589326
ETTh1,True,21,sparse-dense,0.0004147565454375446,-0.0006467936765148785
ETTh2,False,7,dense-off,-0.09419547825531449,-0.032400608403710396
ETTh2,False,7,sparse-off,-0.05255464771146312,-0.01648553731461988
ETTh2,False,7,sparse-dense,0.04164083054385137,0.015915071089090516
ETTh2,False,13,dense-off,-0.04445989523084515,-0.01687844278518391
ETTh2,False,13,sparse-off,-0.04484152706092448,-0.01675854508006891
ETTh2,False,13,sparse-dense,-0.000381631830079332,0.00011989770511500186
ETTh2,False,21,dense-off,0.027724588037635778,0.008359862012896402
ETTh2,False,21,sparse-off,0.02555367622927851,0.007547633713191337
ETTh2,False,21,sparse-dense,-0.0021709118083572676,-0.0008122282997050645
ETTh2,True,7,dense-off,-0.013358968560100437,-0.005141894395927826
ETTh2,True,7,sparse-off,-0.019670895964775337,-0.006926865266156379
ETTh2,True,7,sparse-dense,-0.0063119274046749,-0.0017849708702285527
ETTh2,True,13,dense-off,-0.027536461906456866,-0.008192478485390287
ETTh2,True,13,sparse-off,-0.047003250148367814,-0.014065559978747588
ETTh2,True,13,sparse-dense,-0.01946678824191095,-0.005873081493357302
ETTh2,True,21,dense-off,-0.024219973856885568,-0.008796141727557272
ETTh2,True,21,sparse-off,-0.044399275907546,-0.01511581627883718
ETTh2,True,21,sparse-dense,-0.02017930205066043,-0.006319674551279908
