loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.451581, 0.434302, 0.430161, 0.606363, 103.73 M Ops, 19.01 M Ops, 7.28 M Ops, 0.2262 M, 0.3863 %, 50.61 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.452038, 0.434943, 0.430334, 0.605782, 103.73 M Ops, 19.72 M Ops, 7.28 M Ops, 0.2262 M, 0.3881 %, 51.25 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.452038, 0.434943, 0.430334, 0.605782, 103.73 M Ops, 19.72 M Ops, 7.28 M Ops, 0.2262 M, 0.3881 %, 51.25 uJ
