epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.545552,0.545552,0.533074,0.866553,0.866553,0.649020
1,0.393223,0.393223,0.450376,0.777028,0.777028,0.608767
2,0.376045,0.376045,0.439086,0.757406,0.757406,0.602362
3,0.369314,0.369314,0.434589,0.756819,0.756819,0.598238
4,0.362525,0.362525,0.430356,0.758879,0.758879,0.597364
5,0.361091,0.361091,0.429882,0.741300,0.741300,0.592196
6,0.358227,0.358227,0.428178,0.750343,0.750343,0.591588
7,0.356943,0.356943,0.426966,0.748933,0.748933,0.592309
8,0.357301,0.357301,0.428285,0.758487,0.758487,0.596700
9,0.351527,0.351527,0.423683,0.755868,0.755868,0.593736
10,0.350794,0.350794,0.423542,0.764102,0.764102,0.598993
11,0.353648,0.353648,0.426403,0.763951,0.763951,0.599931
