epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.868063,0.868063,0.693673,1.552977,1.552977,0.894349
1,0.741414,0.741414,0.632195,1.544884,1.544884,0.889822
2,0.723759,0.723759,0.622830,1.546592,1.546592,0.891156
3,0.715617,0.715617,0.618319,1.547388,1.547388,0.892720
4,0.710454,0.710454,0.615494,1.541127,1.541127,0.889011
5,0.708421,0.708421,0.614677,1.539881,1.539881,0.889753
6,0.706319,0.706319,0.613515,1.539522,1.539522,0.889395
7,0.705082,0.705082,0.612555,1.530328,1.530328,0.885757
8,0.704047,0.704047,0.612140,1.533570,1.533570,0.888014
9,0.702668,0.702668,0.611077,1.536207,1.536207,0.889049
