variant,mse,mse_sd,mae,mae_sd
heterogeneous_dense,0.7066923747659599,0.0565446499174424,0.591711475893102,0.0233748277273607
heterogeneous_no_memory,0.6856521449672842,0.05336340049419098,0.5826195085250446,0.021506665115404906
heterogeneous_sparse,0.7214757909185764,0.038873816381597676,0.5977848884995969,0.01659997789186095
homogeneous_dense,0.7138167422176288,0.0424919055814712,0.6017101350602602,0.019110044495236917
homogeneous_no_memory,0.6816324201129937,0.05516712351710941,0.5888806249950435,0.020140036936676466
homogeneous_sparse,0.649909599774353,0.03454350730601416,0.5751836169973076,0.01337865936987262
