data,heterogeneous,seed,comparison,delta_mse,delta_mae
ETTh1,False,7,dense-off,0.01322554097533546,0.0065116579256767615
ETTh1,False,7,sparse-off,0.018053467902077736,0.009394810148633859
ETTh1,False,7,sparse-dense,0.004827926926742276,0.002883152222957097
ETTh1,False,13,dense-off,-0.016686621730187312,-0.010278479472086155
ETTh1,False,13,sparse-off,-0.0038855095740490952,-0.0020211566808708836
ETTh1,False,13,sparse-dense,0.012801112156138217,0.008257322791215271
ETTh1,False,21,dense-off,0.010500325712137881,-0.0017770174296554142
ETTh1,False,21,sparse-off,0.006212801492766151,-0.004721114071826404
ETTh1,False,21,sparse-dense,-0.00428752421937173,-0.00294409664217099
ETTh1,True,7,dense-off,0.001861874685762599,0.002025322649366945
ETTh1,True,7,sparse-off,0.0035545899508478973,0.003409338965360331
ETTh1,True,7,sparse-dense,0.0016927152650852983,0.001384016315993386
ETTh1,True,13,dense-off,0.005543598919851234,0.0025956824583212024
ETTh1,True,13,sparse-off,0.005122993103796714,0.002189041417829718
ETTh1,True,13,sparse-dense,-0.0004206058160545201,-0.0004066410404914844
ETTh1,True,21,dense-off,0.013186533304765491,0.009967054856973578
ETTh1,True,21,sparse-off,0.013530216813949725,0.010756988911258425
ETTh1,True,21,sparse-dense,0.00034368350918423385,0.0007899340542848465
ETTh2,False,7,dense-off,-0.018769119052381655,-0.0009723847142792952
ETTh2,False,7,sparse-off,-0.16203582887529855,-0.06432537983801334
ETTh2,False,7,sparse-dense,-0.1432667098229169,-0.06335299512373405
ETTh2,False,13,dense-off,-0.05372764342464764,-0.02277139220653812
ETTh2,False,13,sparse-off,-0.035488312439230674,-0.016248968164670807
ETTh2,False,13,sparse-dense,0.01823933098541697,0.006522424041867314
ETTh2,False,21,dense-off,0.2585634501475538,0.10626467628818259
ETTh2,False,21,sparse-off,-0.013193540538110282,-0.004260239379667352
ETTh2,False,21,sparse-dense,-0.27175699068566406,-0.11052491566784994
ETTh2,True,7,dense-off,0.0859778485257261,0.030696220898871363
ETTh2,True,7,sparse-off,0.07320121686393943,0.025449115339644113
ETTh2,True,7,sparse-dense,-0.012776631661786664,-0.00524710555922725
ETTh2,True,13,dense-off,-0.017217532771593658,-0.001344622710320209
ETTh2,True,13,sparse-off,0.02179086019753851,0.01580781448071955
ETTh2,True,13,sparse-dense,0.039008392969132166,0.01715243719103976
ETTh2,True,21,dense-off,0.036889056127541564,0.010612146055132277
ETTh2,True,21,sparse-off,0.09774199877768075,0.033379980732501924
ETTh2,True,21,sparse-dense,0.060852942650139186,0.022767834677369647
