epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WK_norm,train_grad_eta_hat_norm,train_grad_WQ_absmax,train_grad_WK_absmax,train_grad_absmax_all,train_grad_total_norm_pre,train_clip_rate,train_singleton_frac,val_loss,val_mse,val_mae
0,0.379018,0.379018,0.520507,15.931108,0.199646,0.200000,0.995891,0.008132,0.511563,0.845809,9.026636,274.521964,0.000000,7.182427,238.690619,306.815693,361.527115,1.000000,0.046425,0.363459,0.363459,0.513744
1,0.321981,0.321981,0.481491,16.636229,0.200233,0.200000,0.995737,0.008088,0.510417,0.820038,109.774132,1070.763783,0.000000,67.871684,728.591810,1677.998892,2337.389997,1.000000,0.047750,0.328497,0.328497,0.489737
2,0.307421,0.307421,0.469981,17.280384,0.201730,0.200000,0.995742,0.008111,0.502187,0.819747,22.183193,116.812922,0.000000,10.694000,77.770535,618.877744,782.462456,1.000000,0.048498,0.315003,0.315003,0.477364
3,0.292685,0.292685,0.456168,17.112846,0.200169,0.200000,0.995651,0.008125,0.512748,0.812216,14.120992,47.187273,0.000000,9.652295,31.691864,196.297583,260.481267,1.000000,0.045544,0.294922,0.294922,0.456629
4,0.276568,0.276568,0.439445,18.205816,0.198800,0.200000,0.995554,0.008238,0.524781,0.812778,23.415720,140.714487,0.000000,14.484467,125.074231,234.302318,336.059974,1.000000,0.046098,0.281203,0.281203,0.442008
5,0.265549,0.265549,0.427076,18.822834,0.205639,0.200000,0.995505,0.008294,0.528118,0.811575,136.405256,643.964488,0.000000,98.214743,540.689010,1070.583494,1478.106386,1.000000,0.046717,0.271902,0.271902,0.433963
6,0.261299,0.261299,0.422793,17.472778,0.208949,0.200000,0.995355,0.008405,0.535283,0.782144,47.524717,179.662555,0.000000,36.092982,145.218635,690.617164,975.464720,1.000000,0.046542,0.270174,0.270174,0.431848
7,0.256354,0.256354,0.416023,17.846729,0.215320,0.200000,0.995312,0.008766,0.535501,0.786106,8.926871,55.254198,0.000000,6.902855,35.876302,88.747444,123.539700,1.000000,0.048468,0.261909,0.261909,0.421222
8,0.253299,0.253299,0.412110,17.446426,0.213527,0.200000,0.995438,0.008822,0.529548,0.788551,2.532689,9.333423,0.000000,1.759878,5.873372,16.836465,26.512480,1.000000,0.048885,0.258379,0.258379,0.416903
9,0.252485,0.252485,0.410859,19.362331,0.212222,0.200000,0.995468,0.008664,0.534466,0.789311,9.769487,40.935136,0.000000,8.717681,25.544840,73.053376,98.071071,1.000000,0.048652,0.259396,0.259396,0.416989
10,0.250748,0.250748,0.409504,17.786049,0.214117,0.200000,0.995530,0.008770,0.517289,0.797964,50.658085,48.970151,0.000000,45.440465,31.154438,487.096367,636.630760,1.000000,0.048715,0.256143,0.256143,0.415354
11,0.249118,0.249118,0.408540,19.438707,0.212370,0.200000,0.995637,0.009010,0.489063,0.826293,16.170827,34.533481,0.000000,9.268118,32.115335,50.751045,86.000891,1.000000,0.048706,0.254877,0.254877,0.414383
