epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.530711,0.530711,0.522642,0.805802,0.805802,0.623433
1,0.379602,0.379602,0.438585,0.738807,0.738807,0.595604
2,0.356224,0.356224,0.423403,0.722025,0.722025,0.594185
3,0.346966,0.346966,0.418091,0.720030,0.720030,0.589936
4,0.340140,0.340140,0.413846,0.720759,0.720759,0.590931
5,0.335170,0.335170,0.410985,0.712640,0.712640,0.586809
6,0.331646,0.331646,0.409255,0.718016,0.718016,0.586972
7,0.327799,0.327799,0.407163,0.721506,0.721506,0.589700
8,0.323017,0.323017,0.404281,0.719008,0.719008,0.586792
9,0.319275,0.319275,0.402414,0.719041,0.719041,0.585395
10,0.317499,0.317499,0.401452,0.716474,0.716474,0.584177
11,0.315642,0.315642,0.400333,0.720091,0.720091,0.583166
