epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WQ_norm_observations,train_grad_WK_norm,train_grad_WK_norm_observations,train_grad_eta_hat_norm,train_grad_eta_hat_norm_observations,train_grad_WQ_absmax,train_grad_WQ_absmax_observations,train_grad_WK_absmax,train_grad_WK_absmax_observations,train_grad_absmax_all,train_grad_absmax_all_observations,train_singleton_frac,train_singleton_frac_observations,train_grad_total_norm_pre_mean,train_grad_total_norm_pre_max,train_grad_total_norm_post_max,train_clip_rate_all_batches,train_batches_seen,val_loss,val_mse,val_mae
0,0.331221,0.331221,0.484868,15.667974,0.161098,0.017760,1.000000,0.000000,0.474318,0.916775,0.008388,4.000000,0.045689,4.000000,0.000439,4.000000,0.008083,4.000000,0.101119,4.000000,1.577384,4.000000,0.056322,4.000000,1.087468,3.467690,1.000000,0.312500,32.000000,0.285053,0.285053,0.449982
1,0.259740,0.259740,0.424470,20.036629,0.154413,0.017280,1.000000,0.000000,0.454873,0.892782,0.004123,4.000000,0.012224,4.000000,0.000545,4.000000,0.003925,4.000000,0.012149,4.000000,0.624154,4.000000,0.067374,4.000000,0.615964,1.013435,0.999999,0.031250,32.000000,0.255767,0.255767,0.418341
2,0.244089,0.244089,0.404991,20.638618,0.160397,0.017025,1.000000,0.000000,0.431591,0.847179,0.004692,4.000000,0.007419,4.000000,0.000294,4.000000,0.005277,4.000000,0.006849,4.000000,0.440945,4.000000,0.068211,4.000000,0.578103,1.120612,0.999999,0.062500,32.000000,0.247742,0.247742,0.407409
3,0.237749,0.237749,0.397727,20.522635,0.160217,0.017082,1.000000,0.000000,0.419518,0.809218,0.010428,4.000000,0.010614,4.000000,0.000501,4.000000,0.009958,4.000000,0.009564,4.000000,1.096632,4.000000,0.064123,4.000000,0.628732,1.361919,0.999999,0.093750,32.000000,0.242414,0.242414,0.401355
4,0.234267,0.234267,0.393921,22.927187,0.160517,0.017565,1.000000,0.000000,0.427455,0.777486,0.007433,4.000000,0.008982,4.000000,0.000975,4.000000,0.011611,4.000000,0.008300,4.000000,0.740847,4.000000,0.059624,4.000000,0.607721,1.497666,0.999999,0.125000,32.000000,0.240038,0.240038,0.398683
5,0.232102,0.232102,0.391576,22.623886,0.164932,0.018414,1.000000,0.000000,0.410886,0.744526,0.007003,4.000000,0.011541,4.000000,0.001467,4.000000,0.006363,4.000000,0.012226,4.000000,0.512758,4.000000,0.056956,4.000000,0.659591,1.499766,0.999999,0.156250,32.000000,0.237474,0.237474,0.395454
6,0.230677,0.230677,0.389693,23.692434,0.160755,0.019386,1.000000,0.000000,0.398581,0.707550,0.005337,4.000000,0.010601,4.000000,0.001549,4.000000,0.007308,4.000000,0.010428,4.000000,0.405107,4.000000,0.054220,4.000000,0.618929,1.076277,0.999999,0.093750,32.000000,0.233665,0.233665,0.392906
7,0.229179,0.229179,0.388507,22.857578,0.160069,0.020409,1.000000,0.000000,0.379781,0.680809,0.004663,4.000000,0.007594,4.000000,0.002136,4.000000,0.006034,4.000000,0.007364,4.000000,0.486719,4.000000,0.053178,4.000000,0.632914,1.132070,0.999999,0.156250,32.000000,0.235452,0.235452,0.394377
8,0.228116,0.228116,0.387291,22.492319,0.167972,0.021483,1.000000,0.000000,0.362380,0.651918,0.004742,4.000000,0.016057,4.000000,0.001422,4.000000,0.004863,4.000000,0.018407,4.000000,0.722343,4.000000,0.052466,4.000000,0.610815,1.612519,0.999999,0.093750,32.000000,0.231466,0.231466,0.390298
9,0.226676,0.226676,0.386440,22.295603,0.166213,0.022553,1.000000,0.000000,0.350289,0.624842,0.013900,4.000000,0.019060,4.000000,0.005761,4.000000,0.012902,4.000000,0.034294,4.000000,0.670556,4.000000,0.051657,4.000000,1.413515,26.058668,1.000000,0.062500,32.000000,0.230396,0.230396,0.390882
10,0.225741,0.225741,0.385738,23.636763,0.163786,0.023535,1.000000,0.000000,0.340093,0.603568,0.024632,4.000000,0.030707,4.000000,0.005231,4.000000,0.022714,4.000000,0.039744,4.000000,0.883232,4.000000,0.041549,4.000000,0.782064,2.984595,1.000000,0.187500,32.000000,0.229698,0.229698,0.390045
11,0.224730,0.224730,0.384678,23.141022,0.168166,0.024387,1.000000,0.000000,0.347266,0.585865,0.021266,4.000000,0.035472,4.000000,0.002205,4.000000,0.017981,4.000000,0.038298,4.000000,0.535327,4.000000,0.039980,4.000000,0.690839,3.293851,1.000000,0.062500,32.000000,0.228135,0.228135,0.387770
