loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.478032, 0.465171, 0.429209, 0.578930, 50.92 M Ops, 9.26 M Ops, 1.96 M Ops, 0.2709 M, 0.2791 %, 17.33 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.472561, 0.459685, 0.428753, 0.583896, 50.92 M Ops, 8.38 M Ops, 1.96 M Ops, 0.2698 M, 0.2948 %, 16.53 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.477106, 0.466418, 0.429463, 0.577802, 49.74 M Ops, 9.80 M Ops, 1.84 M Ops, 0.2706 M, 0.2733 %, 17.27 uJ
