epoch,train_loss,train_ce,train_mse,train_distill,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,3.400988,3.254274,0.081325,0.145901,3.407607,3.259538,0.112587,0.146943,"tensor(0.0388, device='cuda:0')","tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0270, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0048, device='cuda:0')","tensor(0.0207, device='cuda:0')"
1,3.376975,3.237076,0.085286,0.139046,3.385893,3.253865,0.136296,0.130665,"tensor(0.0388, device='cuda:0')","tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 0.0333, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0049, device='cuda:0')","tensor(0.0070, device='cuda:0')"
2,3.317729,3.196415,0.134063,0.119974,3.356796,3.252369,0.247990,0.101948,"tensor(0.0435, device='cuda:0')","tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0110, device='cuda:0')","tensor(0.0128, device='cuda:0')"
3,3.254156,3.149983,0.258191,0.101591,3.337808,3.247453,0.409820,0.086257,"tensor(0.0635, device='cuda:0')","tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 0.7333, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.0068, device='cuda:0')"
4,3.184258,3.099242,0.366792,0.081347,3.316875,3.237146,0.423016,0.075498,"tensor(0.0671, device='cuda:0')","tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0112, device='cuda:0')","tensor(0.0062, device='cuda:0')"
5,3.105409,3.033098,0.350617,0.068804,3.274770,3.203047,0.357734,0.068146,"tensor(0.0706, device='cuda:0')","tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0233, 0.0000, 0.0000, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 0.9000, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0118, device='cuda:0')","tensor(0.0438, device='cuda:0')"
6,3.014340,2.945948,0.335891,0.065033,3.223036,3.155747,0.373201,0.063557,"tensor(0.0729, device='cuda:0')","tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        1., 0., 0., 0., 1., 0., 0., 0.], device='cuda:0')","tensor(0.0126, device='cuda:0')","tensor(0.0070, device='cuda:0')"
7,2.897328,2.829608,0.357774,0.064142,3.141738,3.073660,0.351754,0.064561,"tensor(0.1235, device='cuda:0')","tensor([0.3889, 0.0000, 0.0000, 0.0000, 0.0500, 0.0000, 0.1034, 0.0303, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5349, 0.0000, 0.0000, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0658, device='cuda:0')","tensor(0.1137, device='cuda:0')"
8,2.752348,2.682866,0.378849,0.065693,3.073052,3.002592,0.399603,0.066464,"tensor(0.1588, device='cuda:0')","tensor([0.1944, 0.0000, 0.0000, 0.0000, 0.2750, 0.0000, 0.0345, 0.2121, 0.0000,
        0.0000, 0.0000, 0.0294, 0.0000, 0.0000, 0.9302, 0.0000, 0.0000, 0.0000,
        1.0000, 0.2069, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0777, device='cuda:0')","tensor(0.1394, device='cuda:0')"
9,2.568763,2.496291,0.412137,0.068351,3.055977,2.984647,0.480716,0.066522,"tensor(0.1671, device='cuda:0')","tensor([0.4444, 0.0000, 0.0000, 0.0000, 0.1500, 0.0000, 0.0690, 0.0303, 0.0000,
        0.0000, 0.0000, 0.0882, 0.0645, 0.0000, 0.7907, 0.0000, 0.0000, 0.0385,
        1.0000, 0.5517, 0.0000, 0.0000, 0.9667, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0906, device='cuda:0')","tensor(0.1942, device='cuda:0')"
