epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.543651,0.543651,0.530816,0.810176,0.810176,0.620910
1,0.379416,0.379416,0.438448,0.735285,0.735285,0.587709
2,0.356748,0.356748,0.423690,0.714544,0.714544,0.584075
3,0.347690,0.347690,0.418282,0.717707,0.717707,0.582027
4,0.341771,0.341771,0.414946,0.721581,0.721581,0.583285
5,0.336114,0.336114,0.411765,0.703541,0.703541,0.576890
6,0.333597,0.333597,0.410471,0.704724,0.704724,0.578676
7,0.331490,0.331490,0.409515,0.699387,0.699387,0.577698
8,0.328551,0.328551,0.407590,0.701761,0.701761,0.576123
9,0.326333,0.326333,0.406820,0.701007,0.701007,0.576019
