loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.299059, 0.297208, 0.349321, 71.72 M Ops, 9.09 M Ops, 5.67 M Ops, 0.0910 M, 0.4009 %, 34.27 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.295809, 0.293684, 0.348434, 75.87 M Ops, 9.55 M Ops, 6.10 M Ops, 0.0924 M, 0.4106 %, 36.67 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293817, 0.291856, 0.346660, 49.44 M Ops, 6.79 M Ops, 4.85 M Ops, 0.0855 M, 0.3026 %, 28.41 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.296401, 0.294284, 0.348109, 49.44 M Ops, 6.73 M Ops, 4.85 M Ops, 0.0855 M, 0.3028 %, 28.35 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.301493, 0.299769, 0.350417, 49.44 M Ops, 6.58 M Ops, 4.85 M Ops, 0.0855 M, 0.3026 %, 28.22 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.298741, 0.296739, 0.349328, 73.49 M Ops, 9.41 M Ops, 5.90 M Ops, 0.0916 M, 0.4005 %, 35.59 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.297969, 0.296263, 0.350489, 40.95 M Ops, 2.06 M Ops, 24.65 M Ops, 0.0779 M, 0.4879 %, 115.24 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.299260, 0.297265, 0.350989, 40.95 M Ops, 3.21 M Ops, 4.58 M Ops, 0.0779 M, 0.4384 %, 23.95 uJ
