loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.418054, 0.416404, 0.438124, 166.97 M Ops, 20.37 M Ops, 3.50 M Ops, 1.1355 M, 0.4237 %, 34.43 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.427272, 0.425522, 0.442584, 253.90 M Ops, 31.37 M Ops, 4.19 M Ops, 1.2679 M, 0.4001 %, 47.50 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.425263, 0.423676, 0.442037, 239.70 M Ops, 23.40 M Ops, 4.19 M Ops, 1.2512 M, 0.4262 %, 40.33 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.414468, 0.412875, 0.436321, 211.94 M Ops, 24.22 M Ops, 4.19 M Ops, 1.2184 M, 0.4289 %, 41.07 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.419886, 0.418274, 0.438744, 253.85 M Ops, 30.80 M Ops, 4.14 M Ops, 1.2672 M, 0.3849 %, 46.76 uJ
