horizon_zero_based,mse,mae
0,0.302095468894,0.391479740596
1,0.33663864089,0.407965108709
2,0.368692387776,0.423147591533
3,0.384924933769,0.428125926462
4,0.395054726738,0.433107646093
5,0.39573711153,0.431102651141
6,0.397747294574,0.432629434945
7,0.408649461567,0.442029363264
8,0.407630930232,0.439781295114
9,0.401811524113,0.43577493189
10,0.397813708863,0.429972823296
11,0.390187037788,0.424233186751
12,0.384997835463,0.420418203494
13,0.382273470214,0.421037895942
14,0.383628139046,0.425071178464
15,0.396094479108,0.438057025365
16,0.400857300397,0.43753758091
17,0.396470522428,0.430715486821
18,0.389986025566,0.42320948508
19,0.383754429004,0.420410890039
20,0.378431686318,0.417055863776
21,0.374554317459,0.416912933721
22,0.380145796372,0.421323603075
23,0.397244788049,0.435467238137
24,0.414825360808,0.442176382903
25,0.415633702776,0.439902889686
26,0.423934518204,0.44156466393
27,0.423681021911,0.441115890446
28,0.419566029648,0.4393258216
29,0.417950177049,0.439253311284
30,0.422968157294,0.444379568176
31,0.434650930717,0.453017889434
32,0.436289229503,0.44999546924
33,0.429568362489,0.445521367837
34,0.42860036379,0.442608879842
35,0.420003758549,0.436986445936
36,0.418026603584,0.438083564308
37,0.413943863401,0.437470922839
38,0.414697069427,0.439879915566
39,0.423604581954,0.447594262011
40,0.426980079054,0.44685060886
41,0.419114684392,0.440052147602
42,0.417108724721,0.437104683425
43,0.412703360534,0.436031957325
44,0.404159908667,0.429671437785
45,0.403026808785,0.429626461465
46,0.408007446032,0.436860291307
47,0.426372268955,0.450152794524
48,0.435948635146,0.454295736074
49,0.435653350156,0.450682172564
50,0.439984724479,0.450214015289
51,0.438227906854,0.447702414575
52,0.434883315552,0.446223976081
53,0.438807654479,0.449024201588
54,0.442420003794,0.452007852573
55,0.452611661325,0.460210902987
56,0.45457360118,0.4605857514
57,0.447014844595,0.453391958813
58,0.439579580381,0.447200724135
59,0.43700432785,0.445180836975
60,0.435266122864,0.44565007082
61,0.432074602813,0.444671955424
62,0.44269146796,0.452065881228
63,0.448229929784,0.459449176162
64,0.450792319756,0.463130163903
65,0.446583413423,0.457439266654
66,0.440736832128,0.448369426856
67,0.439056605627,0.448936845437
68,0.436606616311,0.448717367263
69,0.431324696517,0.446355305646
70,0.44077608436,0.455056340404
71,0.451473647425,0.463637738494
72,0.461201988657,0.466227744714
73,0.462712039045,0.465755844455
74,0.465256482685,0.464964601836
75,0.459909131167,0.458545411633
76,0.456720347507,0.454852506013
77,0.461577038003,0.460377541637
78,0.465463118705,0.464829083456
79,0.475350822831,0.47346921426
80,0.478773732789,0.470427572307
81,0.468947787885,0.463431793593
82,0.464986059345,0.457647290373
83,0.460444014775,0.456046311786
84,0.458695940337,0.455250190538
85,0.455964908292,0.454904674832
86,0.463547211482,0.461300302207
87,0.477866636093,0.472661862649
88,0.483549647307,0.476114432772
89,0.477000839319,0.471303999092
90,0.467601024964,0.464310131074
91,0.464190942785,0.46307318268
92,0.456631441604,0.458287498171
93,0.460029355377,0.46285502892
94,0.464204636275,0.466978451865
95,0.471313868215,0.470998791188
