epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.316320,0.250737,0.655828,0.114045,0.236186,0.170102,0.660833,0.069560
1,0.280953,0.215694,0.652589,0.118105,0.219995,0.154096,0.658984,0.115469
2,0.266021,0.200927,0.650937,0.127215,0.203511,0.137738,0.657731,0.123897
3,0.255073,0.190033,0.650407,0.133667,0.200927,0.135409,0.655183,0.126891
4,0.247481,0.182545,0.649352,0.137638,0.193423,0.127585,0.658375,0.129689
5,0.239546,0.174622,0.649237,0.140431,0.183444,0.118014,0.654302,0.129583
6,0.233159,0.168248,0.649112,0.141565,0.179496,0.113989,0.655070,0.131351
7,0.227184,0.162364,0.648197,0.143198,0.171775,0.106086,0.656892,0.135244
8,0.222517,0.157667,0.648507,0.145772,0.165845,0.100508,0.653366,0.134628
9,0.217810,0.152980,0.648303,0.146118,0.158660,0.093385,0.652750,0.136414
10,0.212677,0.147864,0.648135,0.148196,0.161429,0.095995,0.654339,0.137944
11,0.208934,0.144128,0.648069,0.148848,0.159567,0.094127,0.654396,0.138289
12,0.205020,0.140246,0.647742,0.151145,0.152949,0.087208,0.657410,0.139044
13,0.200769,0.136058,0.647109,0.151602,0.149182,0.083868,0.653133,0.140792
14,0.197255,0.132610,0.646447,0.153471,0.150487,0.085068,0.654193,0.142102
15,0.195192,0.130557,0.646356,0.155113,0.141599,0.076191,0.654082,0.143956
16,0.191153,0.126428,0.647250,0.155553,0.142113,0.076729,0.653838,0.143163
17,0.185861,0.121155,0.647063,0.156015,0.143641,0.077941,0.656999,0.144153
18,0.198555,0.133796,0.647597,0.155347,0.151275,0.085709,0.655654,0.144690
