h,mae,mse
1,0.16384460031986237,0.06910259276628494
2,0.18844790756702423,0.08895090222358704
3,0.20707401633262634,0.10509942471981049
4,0.21776194870471954,0.11582911759614944
5,0.227897047996521,0.12624146044254303
6,0.23711377382278442,0.13633063435554504
7,0.24139109253883362,0.1435575783252716
8,0.24749968945980072,0.1508486121892929
9,0.2510596811771393,0.15676259994506836
10,0.25648874044418335,0.16503453254699707
11,0.2599934935569763,0.17030911147594452
12,0.2639147937297821,0.17621110379695892
13,0.26824334263801575,0.1838706135749817
14,0.2708195149898529,0.1887756735086441
15,0.2732728123664856,0.19336730241775513
16,0.27577000856399536,0.19797717034816742
17,0.2790117859840393,0.20360736548900604
18,0.2804298400878906,0.20639745891094208
19,0.28128665685653687,0.2089274823665619
20,0.283645361661911,0.21301300823688507
21,0.28469860553741455,0.2160463184118271
22,0.28639620542526245,0.21876971423625946
23,0.2879439890384674,0.22268928587436676
24,0.2913568615913391,0.22717909514904022
25,0.2976176142692566,0.23373311758041382
26,0.30314382910728455,0.2413497418165207
27,0.30826491117477417,0.24805407226085663
28,0.31224530935287476,0.2544794976711273
29,0.31492313742637634,0.2582577168941498
30,0.3176928162574768,0.262229859828949
31,0.3191283345222473,0.2657466530799866
32,0.32092857360839844,0.26877084374427795
33,0.3224497437477112,0.2712276577949524
34,0.32503268122673035,0.2751338481903076
35,0.3248077630996704,0.2755793631076813
36,0.3263196051120758,0.27807584404945374
37,0.3275436758995056,0.28097841143608093
38,0.32822445034980774,0.28181496262550354
39,0.3291766047477722,0.28424203395843506
40,0.3303893506526947,0.2857324182987213
41,0.3312286138534546,0.2877669036388397
42,0.3314931392669678,0.28757336735725403
43,0.33225715160369873,0.28991183638572693
44,0.33283141255378723,0.2899194359779358
45,0.3335067331790924,0.29165059328079224
46,0.3340337872505188,0.292315274477005
47,0.33535465598106384,0.2952776551246643
48,0.3382359445095062,0.2999657392501831
49,0.33880701661109924,0.2992374300956726
50,0.3427630662918091,0.30407199263572693
51,0.3457334041595459,0.3068179786205292
52,0.3475378453731537,0.31000906229019165
53,0.34902215003967285,0.31154000759124756
54,0.349941611289978,0.31413277983665466
55,0.3516402840614319,0.3172212243080139
56,0.35366111993789673,0.31933116912841797
57,0.3540409207344055,0.32016780972480774
58,0.35539737343788147,0.3223264217376709
59,0.357059121131897,0.32636699080467224
60,0.35674846172332764,0.3250429630279541
61,0.35760653018951416,0.3269542455673218
62,0.3578055500984192,0.3268261253833771
63,0.3587188422679901,0.3273356854915619
64,0.35912585258483887,0.3285469710826874
65,0.3591020405292511,0.3288801312446594
66,0.3595750629901886,0.3283156454563141
67,0.36030760407447815,0.3307695984840393
68,0.36158451437950134,0.3325045704841614
69,0.36137691140174866,0.33209845423698425
70,0.3620632290840149,0.3339923024177551
71,0.3634131848812103,0.33510473370552063
72,0.364079087972641,0.3376277685165405
73,0.36604881286621094,0.3398616909980774
74,0.3682700991630554,0.3416510224342346
75,0.3701063096523285,0.3440329432487488
76,0.3717435598373413,0.34657689929008484
77,0.3724241554737091,0.34804627299308777
78,0.374040424823761,0.34962356090545654
79,0.3746447265148163,0.35054340958595276
80,0.3759264051914215,0.3524877429008484
81,0.3763710558414459,0.35305294394493103
82,0.37629491090774536,0.3515588343143463
83,0.3766312599182129,0.3532782793045044
84,0.37747713923454285,0.3551027476787567
85,0.3781626522541046,0.35365283489227295
86,0.3778704106807709,0.35423973202705383
87,0.37849870324134827,0.35592982172966003
88,0.3784072697162628,0.3570459187030792
89,0.37863755226135254,0.35675883293151855
90,0.378156840801239,0.3554871082305908
91,0.37949275970458984,0.35969868302345276
92,0.38003435730934143,0.3616490364074707
93,0.3796303868293762,0.3589710593223572
94,0.3798026442527771,0.35932567715644836
95,0.3805537223815918,0.36067938804626465
96,0.38103264570236206,0.3631003201007843
