epoch,train_loss,train_score,train_distill,val_loss,val_score,val_distill
0,0.479459,0.420733,0.058726,0.311064,tensor(0.0016),0.062888
1,0.299071,0.231869,0.067202,0.200586,tensor(0.0009),0.068755
2,0.226900,0.155488,0.071412,0.155393,tensor(0.0004),0.067827
3,0.192350,0.120991,0.071360,0.133994,tensor(0.0003),0.066826
4,0.178682,0.107025,0.071656,0.127933,tensor(0.0003),0.071447
5,0.168995,0.098120,0.070875,0.117300,tensor(0.0002),0.068156
6,0.159374,0.089120,0.070254,0.118472,tensor(0.0002),0.073286
7,0.158123,0.088381,0.069741,0.109518,tensor(0.0002),0.067606
8,0.155595,0.086222,0.069373,0.108790,tensor(0.0002),0.068233
9,0.153084,0.082924,0.070160,0.109121,tensor(0.0002),0.069967
10,0.156608,0.086316,0.070291,0.106641,tensor(0.0002),0.068263
11,0.160360,0.089635,0.070725,0.108920,tensor(0.0002),0.071689
12,0.154278,0.083464,0.070814,0.106891,tensor(0.0002),0.070107
13,0.155288,0.084537,0.070751,0.106021,tensor(0.0001),0.069885
14,0.151176,0.080372,0.070804,0.102016,tensor(0.0002),0.065827
15,0.153402,0.082380,0.071022,0.105357,tensor(0.0002),0.069202
16,0.150880,0.079996,0.070884,0.101088,tensor(0.0001),0.065059
17,0.150719,0.079717,0.071002,0.105391,tensor(0.0001),0.069648
18,0.152265,0.081234,0.071031,0.103191,tensor(0.0002),0.067447
19,0.153902,0.082951,0.070951,0.106504,tensor(0.0002),0.070520
0,0.484972,0.431621,0.053351,0.323892,tensor(0.0018),0.058983
1,0.308522,0.246881,0.061641,0.205779,tensor(0.0010),0.061814
2,0.228568,0.163320,0.065249,0.159724,tensor(0.0004),0.067440
3,0.190519,0.124253,0.066266,0.136212,tensor(0.0003),0.067136
4,0.175874,0.108383,0.067491,0.134614,tensor(0.0003),0.078444
5,0.166716,0.098712,0.068005,0.112143,tensor(0.0002),0.063006
6,0.155667,0.089152,0.066515,0.108768,tensor(0.0002),0.063138
7,0.153585,0.088264,0.065321,0.105582,tensor(0.0002),0.063576
8,0.150807,0.086146,0.064661,0.102123,tensor(0.0002),0.061538
9,0.146901,0.082817,0.064084,0.101951,tensor(0.0001),0.063205
10,0.149585,0.086065,0.063520,0.100691,tensor(0.0002),0.062961
11,0.152891,0.089204,0.063687,0.098495,tensor(0.0002),0.061145
12,0.147461,0.083182,0.064279,0.096054,tensor(0.0002),0.060288
13,0.148643,0.084319,0.064323,0.098625,tensor(0.0001),0.063001
14,0.144959,0.080222,0.064737,0.100151,tensor(0.0002),0.064463
15,0.147214,0.082223,0.064991,0.097039,tensor(0.0002),0.061287
16,0.145013,0.079874,0.065138,0.095330,tensor(0.0001),0.059790
17,0.144491,0.079618,0.064873,0.095500,tensor(0.0001),0.059663
18,0.145602,0.081150,0.064451,0.093327,tensor(0.0002),0.057909
19,0.147652,0.082947,0.064705,0.101064,tensor(0.0002),0.065551
