H,data,seed,variant,content_share_vs_global_kernel,content_share_vs_neuron_kernel,lag1_mass,lag1_mass_if_uniform,mean_lag,mean_lag_if_uniform,top1_is_lag1,top1_in_far_half,support_size,empty_read_frac,gate,evidence_to_charge,empty_read_frac_first8
96,ETTh1,7,heterogeneous_dense,0.8549733361090337,0.807847077095901,0.11722706712446589,0.08256130802301082,9.635788440969286,11.250022968080764,0.28854189319784296,0.17928941991350048,21.499663328638928,0.0003150576636904762,0.48494940996170044,0.018045449629426003,6.975446428571428e-05
96,ETTh1,13,heterogeneous_dense,0.8800032743930168,0.846996126432782,0.1185641452465955,0.08259883511119394,9.702172412606815,11.247690884011664,0.2690028460181936,0.20717964835088087,21.495304942992334,0.0012381417410714285,0.4859461486339569,0.017089350149035454,0.0001255580357142857
96,ETTh1,21,heterogeneous_dense,0.8862836270795531,0.8541970635388274,0.10613859693522676,0.08255932331053417,10.109256831455696,11.2504121537095,0.25768035939338413,0.2044084751359119,21.500625497025982,5.115327380952381e-05,0.4845561683177948,0.01937338523566723,5.580357142857143e-05
96,ETTh1,7,heterogeneous_sparse,0.8885763719286766,0.8763437040980819,0.17522147121236578,0.08301073795691963,7.588339060637226,11.235442952179017,0.27612736233915375,0.18814309719959385,7.5958094936045155,0.09091564360119048,0.45134687423706055,0.01764455996453762,0.041280691964285715
96,ETTh1,13,heterogeneous_sparse,0.9087787506179754,0.8963523552118341,0.16768536718214105,0.08299605973247966,7.938093720703371,11.236827770395784,0.25845216138138016,0.21389974152007352,7.534096212707164,0.12069266183035714,0.46217790246009827,0.017228608950972557,0.06743861607142858
96,ETTh1,21,heterogeneous_sparse,0.9176995431716728,0.9068388292453522,0.16090168694166315,0.0831889855210784,8.333714349026849,11.220025913039876,0.2334037463887422,0.24703203794021103,7.311485870792043,0.10181361607142857,0.42303016781806946,0.016980307176709175,0.0560546875
96,ETTh1,7,homogeneous_dense,0.8824261642488663,0.8358676707190797,0.12792243637591974,0.08257252193853522,9.791267344247176,11.25248034542492,0.20829407873051198,0.31984416604521665,21.50476432042977,0.005387369791666667,0.5279421806335449,0.01778106391429901,0.0012137276785714286
96,ETTh1,13,homogeneous_dense,0.9074033501913981,0.8778649217340102,0.1259843934554781,0.08284375297344741,9.834432714605397,11.24476806607349,0.19609111408150626,0.3284270004136767,21.489421354803074,0.027620442708333335,0.4783858060836792,0.015932396054267883,0.010518973214285715
96,ETTh1,21,homogeneous_dense,0.8943543779918397,0.8637061589129171,0.12005179292634924,0.08274531694171769,9.96922280925634,11.246003951680647,0.19715337016836051,0.3274227706723773,21.492006720223376,0.017380487351190476,0.5085654258728027,0.018263766542077065,0.007017299107142857
96,ETTh1,7,homogeneous_sparse,0.9238333649362204,0.902676486032697,0.14737041442379248,0.08286274128378793,9.084197622509983,11.279799379738744,0.19745595764479215,0.3209727313413051,8.501509967359507,0.11419154575892858,0.5115202069282532,0.020616630092263222,0.05319475446428571
