H,data,seed,variant,tv_learned_vs_init,tv_learned_vs_uniform,top1_agree,support_jaccard,empty_agree
96,ETTh1,7,heterogeneous_dense,0.12399411568381369,0.24959487671359215,0.4098777114407539,0.9999736796554947,0.9996790160423926
96,ETTh1,13,heterogeneous_dense,0.15784478810606103,0.28079791296096074,0.3969916529441826,0.999972996609865,0.9987648355836237
96,ETTh1,21,heterogeneous_dense,0.04592880966632901,0.20474796760372999,0.5255824188787883,0.9999957609322887,0.9999852551538908
96,ETTh1,7,heterogeneous_sparse,0.45737356175944366,0.6389670659994553,0.3535575057851961,0.568256537670706,0.9152738458188153
96,ETTh1,13,heterogeneous_sparse,0.4840155982528137,0.6525363506755762,0.3334988565996706,0.5408392414608261,0.8881013628774681
96,ETTh1,21,heterogeneous_sparse,0.49204728273841425,0.6524920596478293,0.32136336662415876,0.5398736094561511,0.9061456518583043
96,ETTh1,7,homogeneous_dense,0.24030794305391567,0.34493636586524884,0.3509062214204425,0.9996921507706827,0.9946600972706156
96,ETTh1,13,homogeneous_dense,0.32662669789915716,0.40955992775096295,0.34056396097233366,0.998761625710725,0.9727889536149826
96,ETTh1,21,homogeneous_dense,0.27894174595743104,0.3609530740221757,0.3371641231284078,0.9991342376246354,0.9829152602351916
96,ETTh1,7,homogeneous_sparse,0.5305157964930163,0.6232478959219796,0.2967854460208042,0.5135310351106159,0.8917081790795587
96,ETTh1,13,homogeneous_sparse,0.5831519217164397,0.6426408254864878,0.2748278230319017,0.461925120761997,0.8363571610046457
96,ETTh1,21,homogeneous_sparse,0.5732635532383581,0.6494024373097702,0.28415131449550907,0.4724163801171701,0.8717878919860628
96,ETTh2,7,heterogeneous_dense,0.0639174063965834,0.2365531760779546,0.7234827556082989,0.9996712204835477,0.9997402638646922
96,ETTh2,13,heterogeneous_dense,0.06716396933925553,0.25936667235193905,0.6861236116294714,0.999511432555701,0.9998502831010453
96,ETTh2,21,heterogeneous_dense,0.24294984714494766,0.32514478936012614,0.29613126490532926,0.9969024423559437,0.972131106634727
96,ETTh2,7,heterogeneous_sparse,0.3778423556882745,0.6524083179602362,0.561037505343507,0.6022646533110079,0.8170901840156795
96,ETTh2,13,heterogeneous_sparse,0.41142058206352206,0.6547143190718417,0.5170724726502892,0.5666832534355652,0.7544665541521487
96,ETTh2,21,heterogeneous_sparse,0.3450099983004881,0.6672338752657971,0.625478025144018,0.636514358425192,0.8334751106997678
96,ETTh2,7,homogeneous_dense,0.050692502422199845,0.26034125827607657,0.5003369853314937,0.9990652430103957,0.9997606798054588
96,ETTh2,13,homogeneous_dense,0.18461709792328768,0.32232942149198845,0.4225962301290734,0.9935800017079048,0.98671262521777
96,ETTh2,21,homogeneous_dense,0.13161663671265358,0.2972613981514996,0.4340611035858522,0.9966534965543116,0.9973050958188153
96,ETTh2,7,homogeneous_sparse,0.12919247503480014,0.5188720035220687,0.48899636618176606,0.8772588141868595,0.9916147194396051
96,ETTh2,13,homogeneous_sparse,0.4638640462452249,0.6145419509568696,0.33772921960072594,0.5550968186901003,0.8053408101045296
96,ETTh2,21,homogeneous_sparse,0.3892943586345057,0.6034021516017936,0.3771066348380406,0.631527472492273,0.9024072662601627
720,ETTh1,7,heterogeneous_dense,0.035477190898270554,0.18141423949796565,0.7259662880948952,1.0,0.9999988657810686
720,ETTh1,13,heterogeneous_dense,0.04219434464850077,0.18829633937618598,0.5954371812786963,1.0,0.999997731562137
720,ETTh1,21,heterogeneous_dense,0.031009892916845527,0.1728467503768088,0.6267623846155591,0.999999814092269,0.9999818524970964
